Origin,Destination,Line,0,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640,660,680,700,720,740,760,780,800,820,840,860,880,900,920,940,960,980,1000,1020,1040,1060,1080,1100,1120,1140,1160,1180,1200
T-Centralen,Tekniska högskolan,14,0,0,0,12,35,36,38,41,41,41,41,41,47,49,50,51,51,55,60,60,55,63,66,66,67,69,73,73,78,79,84,88,90,94,96,100,100,100,97,97,97,97,100,100,102,102,103,103,103,103,103,103,103,107,109,111,111,118,118,119,121
T-Centralen,Solna Centrum,11,0,0,0,34,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,47,47,47,47,47,47,47,47,50,50,50,50,50,50,50,50,50,50,50,50,51,51,51,51,59,59,59,59,59,59,59
T-Centralen,Friedhemsplan,11,0,0,0,34,41,41,41,41,41,41,41,41,41,41,41,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,47,47,47,47,47,47,47,47,50,50,50,50,50,50,51,51,51,51,51,51,51,51,51,51,51
T-Centralen,Friedhemsplan,10,0,0,0,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
T-Centralen,Friedhemsplan,19,0,0,0,0,0,0,5,24,24,26,30,33,34,34,34,35,37,43,48,57,70,70,82,91,111,119,142,151,153,153,153,153,156,156,156,156,156,158,158,158,158,158,158,160,160,160,160,160,160,160,160,160,160,165,165,165,165,164,166,166,166
T-Centralen,Friedhemsplan,17,0,0,0,0,0,0,22,30,23,23,25,31,34,34,34,37,38,52,64,72,78,88,90,91,94,128,129,131,149,149,149,164,185,191,196,196,217,217,218,225,224,224,225,225,255,261,268,268,268,268,268,268,268,268,276,276,276,276,255,218,225
T-Centralen,Friedhemsplan,18,0,0,0,0,0,0,0,30,30,31,32,32,31,32,33,34,35,44,52,54,58,69,69,94,113,125,131,134,134,134,146,162,165,170,170,173,173,185,185,185,185,173,173,173,173,185,185,185,190,190,198,198,198,198,210,210,198,198,198,198,210
T-Centralen,Globen,19,0,0,0,0,0,0,0,0,5,21,31,31,31,31,32,32,32,32,34,40,40,43,43,52,52,52,52,57,57,57,57,57,61,57,57,57,64,69,69,73,73,69,69,69,69,69,69,69,73,73,73,73,73,73,73,73,73,73,73,73,73
T-Centralen,Bergshamra,14,0,0,0,2,33,36,37,41,41,41,41,41,46,49,50,50,51,55,58,60,55,64,66,66,67,69,76,76,78,82,85,89,92,96,97,100,100,100,97,97,97,97,102,102,103,103,103,103,103,103,103,109,109,109,116,116,116,119,119,121,121
Tekniska högskolan,T-Centralen,14,0,0,0,0,0,26,28,26,28,30,33,31,31,31,31,31,31,33,34,34,34,34,38,38,38,38,43,48,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,48,50,50,50,50,50,50,50,50,50,50,50,50,52,52,52,53,42
Tekniska högskolan,Friedhemsplan,4,60,75,78,86,101,104,105,123,131,130,130,131,132,136,144,147,155,161,174,191,197,207,224,226,259,267,291,291,299,316,304,304,304,304,304,304,304,304,304,304,304,304,304,304,299,291,290,290,290,290,290,290,290,290,290,290,290,275,275,304,279
Tekniska högskolan,Bergshamra,14,0,0,0,4,19,30,32,33,34,35,38,38,38,38,38,40,40,46,45,46,46,46,46,46,47,55,59,59,59,59,68,72,76,76,78,78,78,78,78,79,81,82,82,82,82,82,82,87,96,102,102,102,102,102,102,102,102,102,102,101,96
Friedhemsplan,Tekniska högskolan,4,106,106,106,106,105,112,112,115,117,120,120,122,123,128,131,142,143,145,145,169,170,148,170,170,174,177,174,191,204,204,205,210,210,210,210,208,229,233,241,241,248,248,241,241,233,256,258,258,258,258,261,282,286,300,306,311,311,311,319,377,588
Friedhemsplan,T-Centralen,18,0,0,0,0,0,31,32,32,33,35,35,34,34,34,35,41,41,46,46,46,43,43,47,46,46,46,54,54,54,54,59,59,59,59,62,62,62,62,62,69,70,70,70,70,70,75,75,74,74,74,74,74,79,79,79,79,81,81,91,79,37
Friedhemsplan,T-Centralen,10,0,6,31,37,39,39,37,41,41,46,50,48,48,48,50,56,53,53,51,59,61,61,61,66,71,70,70,71,71,76,78,78,78,78,78,84,84,84,84,84,88,88,87,79,79,79,79,79,79,77,79,76,86,86,80,80,80,80,86,87,41
Friedhemsplan,T-Centralen,19,0,0,0,5,7,31,32,32,33,37,36,36,37,37,38,46,46,46,46,46,47,47,53,53,47,55,66,66,67,67,69,69,69,72,69,72,72,72,72,72,72,72,72,72,72,73,73,73,73,73,82,82,82,82,82,82,82,86,88,94,647
Friedhemsplan,T-Centralen,11,0,33,34,39,39,39,43,43,48,50,50,50,51,50,51,55,59,60,60,62,62,65,62,62,65,67,67,67,67,67,67,67,67,69,69,72,77,84,87,84,84,87,88,88,88,100,98,98,98,112,100,108,108,108,112,112,112,112,112,119,64
Friedhemsplan,T-Centralen,17,0,0,0,0,1,32,33,34,34,36,36,36,35,35,36,45,45,45,45,45,45,45,52,54,54,60,60,60,60,60,60,65,65,65,66,66,66,71,71,66,66,71,71,71,65,65,65,65,65,65,65,65,65,65,65,65,65,65,66,67,88
Friedhemsplan,Solna Centrum,11,0,0,31,32,35,35,37,37,38,37,42,42,45,61,70,72,72,72,72,70,70,70,70,72,72,72,72,72,72,72,72,72,72,74,74,74,76,74,74,74,74,74,76,76,76,79,79,79,76,79,79,79,79,79,80,79,79,79,76,76,83
