RequestTime,StartingStation,EndingStation,ModelOld,ModelSL,ModelDelay,Value_ModelOld,Value_ModelSL,Value_ModelDelay,Value_ModelDelay_50,Value_ModelDelay_90,ModelDelay_50,ModelDelay_90
1900-01-01 16:03:35,Tekniska högskolan,Fridhemsplan,1900-01-01 16:17:41,1900-01-01 16:29:21,1900-01-01 16:17:41,True,True,True,True,True,1900-01-01 16:17:41,1900-01-01 16:17:41
1900-01-01 16:03:35,Fridhemsplan,Tekniska högskolan,1900-01-01 16:21:19,1900-01-01 16:21:19,1900-01-01 16:20:19,True,True,True,True,True,1900-01-01 16:20:19,1900-01-01 16:20:19
1900-01-01 16:03:36,Tekniska högskolan,Solna Centrum,1900-01-01 16:23:45,1900-01-01 16:23:45,1900-01-01 16:23:45,True,True,True,True,True,1900-01-01 16:23:45,1900-01-01 16:23:45
1900-01-01 16:03:36,Solna Centrum,Tekniska högskolan,1900-01-01 16:30:55,1900-01-01 16:30:55,1900-01-01 16:39:30,True,True,True,True,True,1900-01-01 16:39:30,1900-01-01 16:39:30
1900-01-01 16:03:37,Globen,Solna Centrum,1900-01-01 16:30:45,1900-01-01 16:30:45,1900-01-01 16:30:45,True,True,True,True,True,1900-01-01 16:30:45,1900-01-01 16:30:45
1900-01-01 16:03:37,Solna Centrum,Globen,1900-01-01 16:36:45,1900-01-01 16:36:45,1900-01-01 16:36:45,True,True,True,True,True,1900-01-01 16:36:45,1900-01-01 16:36:45
1900-01-01 16:04:12,Tekniska högskolan,Fridhemsplan,1900-01-01 16:17:41,1900-01-01 16:17:41,1900-01-01 16:17:41,True,True,True,True,True,1900-01-01 16:17:41,1900-01-01 16:17:41
1900-01-01 16:04:13,Fridhemsplan,Tekniska högskolan,1900-01-01 16:29:31,,1900-01-01 16:20:19,True,False,True,True,True,1900-01-01 16:20:19,1900-01-01 16:20:19
1900-01-01 16:04:13,Tekniska högskolan,Solna Centrum,1900-01-01 16:23:45,1900-01-01 16:23:45,1900-01-01 16:23:45,True,True,True,True,True,1900-01-01 16:23:45,1900-01-01 16:23:45
1900-01-01 16:04:14,Solna Centrum,Tekniska högskolan,1900-01-01 16:30:55,1900-01-01 16:30:55,1900-01-01 16:30:55,True,True,True,True,True,1900-01-01 16:30:55,1900-01-01 16:30:55
1900-01-01 16:04:14,Globen,Solna Centrum,1900-01-01 16:30:45,1900-01-01 16:30:45,1900-01-01 16:30:45,True,True,True,True,True,1900-01-01 16:30:45,1900-01-01 16:30:45
1900-01-01 16:04:15,Solna Centrum,Globen,1900-01-01 16:36:45,1900-01-01 16:36:45,1900-01-01 16:36:45,True,True,True,True,True,1900-01-01 16:36:45,1900-01-01 16:36:45
1900-01-01 16:04:52,Tekniska högskolan,Fridhemsplan,1900-01-01 16:24:41,1900-01-01 16:24:41,1900-01-01 16:24:41,True,True,True,True,True,1900-01-01 16:24:41,1900-01-01 16:24:41
1900-01-01 16:04:53,Fridhemsplan,Tekniska högskolan,1900-01-01 16:29:31,,1900-01-01 16:20:31,True,False,True,True,True,1900-01-01 16:20:31,1900-01-01 16:20:31
1900-01-01 16:04:53,Tekniska högskolan,Solna Centrum,1900-01-01 16:30:45,1900-01-01 16:30:45,1900-01-01 16:30:45,True,True,True,True,True,1900-01-01 16:30:45,1900-01-01 16:30:45
1900-01-01 16:04:53,Solna Centrum,Tekniska högskolan,1900-01-01 16:30:55,1900-01-01 16:30:55,1900-01-01 16:30:55,True,True,True,True,True,1900-01-01 16:30:55,1900-01-01 16:30:55
1900-01-01 16:04:54,Globen,Solna Centrum,1900-01-01 16:37:45,1900-01-01 16:37:45,1900-01-01 16:37:45,True,True,True,True,True,1900-01-01 16:37:45,1900-01-01 16:37:45
1900-01-01 16:04:54,Solna Centrum,Globen,1900-01-01 16:36:45,1900-01-01 16:36:45,1900-01-01 16:36:45,True,True,True,True,True,1900-01-01 16:36:45,1900-01-01 16:36:45
1900-01-01 16:05:29,Tekniska högskolan,Fridhemsplan,1900-01-01 16:24:41,1900-01-01 16:24:41,1900-01-01 16:24:41,True,True,True,True,True,1900-01-01 16:24:41,1900-01-01 16:24:41
1900-01-01 16:05:29,Fridhemsplan,Tekniska högskolan,1900-01-01 16:29:31,1900-01-01 16:29:31,1900-01-01 16:20:31,True,True,True,True,True,1900-01-01 16:20:31,1900-01-01 16:20:31
1900-01-01 16:05:30,Tekniska högskolan,Solna Centrum,1900-01-01 16:30:45,1900-01-01 16:30:45,1900-01-01 16:30:45,True,True,True,True,True,1900-01-01 16:30:45,1900-01-01 16:30:45
1900-01-01 16:05:30,Solna Centrum,Tekniska högskolan,1900-01-01 16:30:55,1900-01-01 16:30:55,1900-01-01 16:39:30,True,True,True,True,True,1900-01-01 16:39:30,1900-01-01 16:39:30
1900-01-01 16:05:31,Globen,Solna Centrum,1900-01-01 16:37:45,1900-01-01 16:37:45,1900-01-01 16:37:45,True,True,True,True,True,1900-01-01 16:37:45,1900-01-01 16:37:45
1900-01-01 16:05:31,Solna Centrum,Globen,1900-01-01 16:36:45,1900-01-01 16:36:45,1900-01-01 16:36:45,True,True,True,True,True,1900-01-01 16:36:45,1900-01-01 16:36:45
1900-01-01 16:06:11,Tekniska högskolan,Fridhemsplan,1900-01-01 16:24:41,1900-01-01 16:29:21,1900-01-01 16:24:41,True,True,True,True,True,1900-01-01 16:24:41,1900-01-01 16:24:41
1900-01-01 16:06:11,Fridhemsplan,Tekniska högskolan,1900-01-01 16:29:31,1900-01-01 16:20:31,1900-01-01 16:20:31,True,True,True,True,True,1900-01-01 16:20:31,1900-01-01 16:20:31
1900-01-01 16:06:12,Tekniska högskolan,Solna Centrum,1900-01-01 16:30:45,1900-01-01 16:30:45,1900-01-01 16:30:45,True,True,True,True,True,1900-01-01 16:30:45,1900-01-01 16:30:45
1900-01-01 16:06:12,Solna Centrum,Tekniska högskolan,1900-01-01 16:30:55,1900-01-01 16:30:55,1900-01-01 16:30:55,True,True,True,True,True,1900-01-01 16:30:55,1900-01-01 16:30:55
1900-01-01 16:06:13,Globen,Solna Centrum,1900-01-01 16:37:45,1900-01-01 16:37:45,1900-01-01 16:37:45,True,True,True,True,True,1900-01-01 16:37:45,1900-01-01 16:37:45
1900-01-01 16:06:13,Solna Centrum,Globen,1900-01-01 16:36:45,1900-01-01 16:36:45,1900-01-01 16:36:45,True,True,True,True,True,1900-01-01 16:36:45,1900-01-01 16:36:45
1900-01-01 16:06:48,Tekniska högskolan,Fridhemsplan,1900-01-01 16:24:41,1900-01-01 16:29:21,1900-01-01 16:24:41,True,True,True,True,True,1900-01-01 16:24:41,1900-01-01 16:24:41
1900-01-01 16:06:49,Fridhemsplan,Tekniska högskolan,1900-01-01 16:29:31,1900-01-01 16:29:31,1900-01-01 16:20:31,True,True,True,True,True,1900-01-01 16:20:31,1900-01-01 16:20:31
1900-01-01 16:06:49,Tekniska högskolan,Solna Centrum,1900-01-01 16:30:45,1900-01-01 16:30:45,1900-01-01 16:30:45,True,True,True,True,True,1900-01-01 16:30:45,1900-01-01 16:30:45
1900-01-01 16:06:50,Solna Centrum,Tekniska högskolan,1900-01-01 16:30:55,1900-01-01 16:30:55,1900-01-01 16:30:55,True,True,True,True,True,1900-01-01 16:30:55,1900-01-01 16:30:55
1900-01-01 16:06:51,Globen,Solna Centrum,1900-01-01 16:37:45,1900-01-01 16:37:45,1900-01-01 16:37:45,True,True,True,True,True,1900-01-01 16:37:45,1900-01-01 16:37:45
1900-01-01 16:06:52,Solna Centrum,Globen,1900-01-01 16:36:45,1900-01-01 16:36:45,1900-01-01 16:36:45,True,True,True,True,True,1900-01-01 16:36:45,1900-01-01 16:36:45
1900-01-01 16:07:26,Tekniska högskolan,Fridhemsplan,1900-01-01 16:24:41,1900-01-01 16:29:21,1900-01-01 16:24:41,True,True,True,True,True,1900-01-01 16:24:41,1900-01-01 16:24:41
1900-01-01 16:07:26,Fridhemsplan,Tekniska högskolan,1900-01-01 16:29:31,1900-01-01 16:20:31,1900-01-01 16:20:31,True,True,True,True,True,1900-01-01 16:20:31,1900-01-01 16:20:31
1900-01-01 16:07:27,Tekniska högskolan,Solna Centrum,1900-01-01 16:30:45,1900-01-01 16:30:45,1900-01-01 16:30:45,True,True,True,True,True,1900-01-01 16:30:45,1900-01-01 16:30:45
1900-01-01 16:07:27,Solna Centrum,Tekniska högskolan,1900-01-01 16:30:55,1900-01-01 16:30:55,1900-01-01 16:30:55,True,True,True,True,True,1900-01-01 16:30:55,1900-01-01 16:30:55
1900-01-01 16:07:28,Globen,Solna Centrum,1900-01-01 16:37:45,1900-01-01 16:37:45,1900-01-01 16:37:45,True,True,True,True,True,1900-01-01 16:37:45,1900-01-01 16:37:45
1900-01-01 16:07:28,Solna Centrum,Globen,1900-01-01 16:36:45,1900-01-01 16:36:45,1900-01-01 16:36:45,True,True,True,True,True,1900-01-01 16:36:45,1900-01-01 16:36:45
1900-01-01 16:08:08,Tekniska högskolan,Fridhemsplan,1900-01-01 16:24:41,1900-01-01 16:30:36,1900-01-01 16:24:41,True,True,True,True,True,1900-01-01 16:24:41,1900-01-01 16:24:41
1900-01-01 16:08:09,Fridhemsplan,Tekniska högskolan,1900-01-01 16:25:23,1900-01-01 16:29:31,1900-01-01 16:25:23,True,True,True,True,True,1900-01-01 16:25:23,1900-01-01 16:25:23
1900-01-01 16:08:09,Tekniska högskolan,Solna Centrum,1900-01-01 16:30:45,1900-01-01 16:30:45,1900-01-01 16:30:45,True,True,True,True,True,1900-01-01 16:30:45,1900-01-01 16:30:45
1900-01-01 16:08:10,Solna Centrum,Tekniska högskolan,1900-01-01 16:30:55,1900-01-01 16:30:55,1900-01-01 16:30:55,True,True,True,True,True,1900-01-01 16:30:55,1900-01-01 16:30:55
1900-01-01 16:08:11,Globen,Solna Centrum,1900-01-01 16:37:45,1900-01-01 16:37:45,1900-01-01 16:37:45,True,True,True,True,True,1900-01-01 16:37:45,1900-01-01 16:37:45
1900-01-01 16:08:11,Solna Centrum,Globen,1900-01-01 16:36:45,1900-01-01 16:36:45,1900-01-01 16:36:45,True,True,True,True,True,1900-01-01 16:36:45,1900-01-01 16:36:45
1900-01-01 16:08:53,Tekniska högskolan,Fridhemsplan,1900-01-01 16:24:41,1900-01-01 16:30:36,1900-01-01 16:24:41,True,True,True,True,True,1900-01-01 16:24:41,1900-01-01 16:24:41
1900-01-01 16:08:54,Fridhemsplan,Tekniska högskolan,1900-01-01 16:25:23,1900-01-01 16:40:03,1900-01-01 16:25:23,True,True,True,True,True,1900-01-01 16:25:23,1900-01-01 16:25:23
1900-01-01 16:08:54,Tekniska högskolan,Solna Centrum,1900-01-01 16:30:45,1900-01-01 16:30:45,1900-01-01 16:30:45,True,True,True,True,True,1900-01-01 16:30:45,1900-01-01 16:30:45
1900-01-01 16:08:55,Solna Centrum,Tekniska högskolan,1900-01-01 16:35:07,1900-01-01 16:35:07,1900-01-01 16:35:07,True,True,True,True,True,1900-01-01 16:35:07,1900-01-01 16:35:07
1900-01-01 16:08:55,Globen,Solna Centrum,1900-01-01 16:37:45,1900-01-01 16:37:45,1900-01-01 16:37:45,True,True,True,True,True,1900-01-01 16:37:45,1900-01-01 16:37:45
1900-01-01 16:08:55,Solna Centrum,Globen,1900-01-01 16:44:15,1900-01-01 16:44:15,1900-01-01 16:44:15,True,True,True,True,True,1900-01-01 16:44:15,1900-01-01 16:44:15
1900-01-01 16:09:34,Tekniska högskolan,Fridhemsplan,1900-01-01 16:28:00,1900-01-01 16:24:41,1900-01-01 16:24:41,True,True,True,True,True,1900-01-01 16:24:41,1900-01-01 16:24:41
1900-01-01 16:09:34,Fridhemsplan,Tekniska högskolan,1900-01-01 16:30:55,1900-01-01 16:25:23,1900-01-01 16:25:23,True,True,True,True,True,1900-01-01 16:25:23,1900-01-01 16:25:23
1900-01-01 16:09:35,Tekniska högskolan,Solna Centrum,1900-01-01 16:43:58,1900-01-01 16:30:45,1900-01-01 16:30:45,True,True,True,True,True,1900-01-01 16:30:45,1900-01-01 16:30:45
1900-01-01 16:09:35,Solna Centrum,Tekniska högskolan,1900-01-01 16:35:07,1900-01-01 16:35:07,1900-01-01 16:35:07,True,True,True,True,True,1900-01-01 16:35:07,1900-01-01 16:35:07
1900-01-01 16:09:36,Globen,Solna Centrum,1900-01-01 16:37:45,1900-01-01 16:37:45,1900-01-01 16:37:45,True,True,True,True,True,1900-01-01 16:37:45,1900-01-01 16:37:45
1900-01-01 16:09:36,Solna Centrum,Globen,1900-01-01 16:44:15,1900-01-01 16:44:15,1900-01-01 16:44:15,True,True,True,True,True,1900-01-01 16:44:15,1900-01-01 16:44:15
1900-01-01 16:10:19,Tekniska högskolan,Fridhemsplan,1900-01-01 16:28:00,1900-01-01 16:31:41,1900-01-01 16:28:00,True,True,True,True,True,1900-01-01 16:28:00,1900-01-01 16:28:00
1900-01-01 16:10:19,Fridhemsplan,Tekniska högskolan,1900-01-01 16:30:55,1900-01-01 16:40:03,1900-01-01 16:40:03,True,True,True,True,True,1900-01-01 16:25:23,1900-01-01 16:25:23
1900-01-01 16:10:21,Tekniska högskolan,Solna Centrum,1900-01-01 16:37:45,1900-01-01 16:37:45,1900-01-01 16:43:58,True,True,True,True,True,1900-01-01 16:37:45,1900-01-01 16:37:45
1900-01-01 16:10:21,Solna Centrum,Tekniska högskolan,1900-01-01 16:35:07,1900-01-01 16:35:07,1900-01-01 16:35:07,True,True,True,True,True,1900-01-01 16:35:07,1900-01-01 16:35:07
1900-01-01 16:10:22,Globen,Solna Centrum,1900-01-01 16:37:45,1900-01-01 16:37:45,1900-01-01 16:37:45,True,True,True,True,True,1900-01-01 16:37:45,1900-01-01 16:37:45
1900-01-01 16:10:22,Solna Centrum,Globen,1900-01-01 16:44:15,1900-01-01 16:44:15,1900-01-01 16:44:15,True,True,True,True,True,1900-01-01 16:44:15,1900-01-01 16:44:15
1900-01-01 16:11:00,Tekniska högskolan,Fridhemsplan,1900-01-01 16:28:00,1900-01-01 16:28:00,1900-01-01 16:28:00,True,True,True,True,True,1900-01-01 16:28:00,1900-01-01 16:28:00
1900-01-01 16:11:00,Fridhemsplan,Tekniska högskolan,1900-01-01 16:30:55,1900-01-01 16:30:55,1900-01-01 16:40:03,True,True,True,True,True,1900-01-01 16:25:23,1900-01-01 16:25:23
1900-01-01 16:11:01,Tekniska högskolan,Solna Centrum,1900-01-01 16:37:45,1900-01-01 16:37:45,1900-01-01 16:43:58,True,True,True,True,True,1900-01-01 16:37:45,1900-01-01 16:37:45
1900-01-01 16:11:01,Solna Centrum,Tekniska högskolan,1900-01-01 16:35:07,1900-01-01 16:35:07,1900-01-01 16:35:07,True,True,True,True,True,1900-01-01 16:35:07,1900-01-01 16:35:07
1900-01-01 16:11:05,Globen,Solna Centrum,1900-01-01 16:37:45,1900-01-01 16:37:45,1900-01-01 16:37:45,True,True,True,True,True,1900-01-01 16:37:45,1900-01-01 16:37:45
1900-01-01 16:11:05,Solna Centrum,Globen,1900-01-01 16:44:15,1900-01-01 16:44:15,1900-01-01 16:44:15,True,True,True,True,True,1900-01-01 16:44:15,1900-01-01 16:44:15
1900-01-01 16:11:48,Tekniska högskolan,Fridhemsplan,1900-01-01 16:28:00,,1900-01-01 16:28:00,True,False,True,True,True,1900-01-01 16:28:00,1900-01-01 16:28:00
1900-01-01 16:11:48,Fridhemsplan,Tekniska högskolan,1900-01-01 16:30:55,1900-01-01 16:30:55,1900-01-01 16:40:03,True,True,True,True,True,1900-01-01 16:30:55,1900-01-01 16:30:55
1900-01-01 16:11:49,Tekniska högskolan,Solna Centrum,1900-01-01 16:37:45,1900-01-01 16:37:45,1900-01-01 16:37:45,True,True,True,True,True,1900-01-01 16:37:45,1900-01-01 16:37:45
1900-01-01 16:11:49,Solna Centrum,Tekniska högskolan,1900-01-01 16:35:07,1900-01-01 16:35:07,1900-01-01 16:35:07,True,True,True,True,True,1900-01-01 16:35:07,1900-01-01 16:35:07
1900-01-01 16:11:49,Globen,Solna Centrum,1900-01-01 16:37:45,1900-01-01 16:37:45,1900-01-01 16:37:45,True,True,True,True,True,1900-01-01 16:37:45,1900-01-01 16:37:45
