StartStation,EndStation,Lines,DepartureStations,ArrivalStations,DepartureTime,ArrivalTime,TransitionTime,RequestTime
Tekniska högskolan,Fridhemsplan,"[14, 10]","['Tekniska högskolan', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Fridhemsplan']","[datetime.datetime(1900, 1, 1, 15, 59), 0, datetime.datetime(1900, 1, 1, 16, 11)]","[datetime.datetime(1900, 1, 1, 16, 6), 0, datetime.datetime(1900, 1, 1, 16, 14)]","[0, 3.0, 0]",2023-05-11 16:00:14.751262
Tekniska högskolan,Fridhemsplan,[4],['Östra station'],['Fridhemsplan'],"[datetime.datetime(1900, 1, 1, 15, 56)]","[datetime.datetime(1900, 1, 1, 16, 14)]",[0],2023-05-11 16:00:14.751262
Tekniska högskolan,Fridhemsplan,"[4, 19]","['Östra station', 'Odenplan', 'Odenplan Sveavägen', 'Odenplan']","['Odenplan', 'Odenplan Sveavägen', 'Odenplan', 'Fridhemsplan']","[datetime.datetime(1900, 1, 1, 16, 3), 0, 0, datetime.datetime(1900, 1, 1, 16, 16)]","[datetime.datetime(1900, 1, 1, 16, 10), 0, 0, datetime.datetime(1900, 1, 1, 16, 19)]","[0, 2.0, 3.0, 0]",2023-05-11 16:00:14.751262
Tekniska högskolan,Fridhemsplan,[4],['Östra station'],['Fridhemsplan'],"[datetime.datetime(1900, 1, 1, 16, 3)]","[datetime.datetime(1900, 1, 1, 16, 21)]",[0],2023-05-11 16:00:14.751262
Tekniska högskolan,Fridhemsplan,"[14, 11]","['Tekniska högskolan', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Fridhemsplan']","[datetime.datetime(1900, 1, 1, 16, 4), 0, datetime.datetime(1900, 1, 1, 16, 14)]","[datetime.datetime(1900, 1, 1, 16, 11), 0, datetime.datetime(1900, 1, 1, 16, 17)]","[0, 3.0, 0]",2023-05-11 16:00:14.751262
Tekniska högskolan,Fridhemsplan,"[14, 10]","['Tekniska högskolan', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Fridhemsplan']","[datetime.datetime(1900, 1, 1, 16, 4), 0, datetime.datetime(1900, 1, 1, 16, 18)]","[datetime.datetime(1900, 1, 1, 16, 11), 0, datetime.datetime(1900, 1, 1, 16, 21)]","[0, 3.0, 0]",2023-05-11 16:00:14.751262
Tekniska högskolan,Fridhemsplan,"[14, 10]","['Tekniska högskolan', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Fridhemsplan']","[datetime.datetime(1900, 1, 1, 16, 9), 0, datetime.datetime(1900, 1, 1, 16, 18)]","[datetime.datetime(1900, 1, 1, 16, 16), 0, datetime.datetime(1900, 1, 1, 16, 21)]","[0, 3.0, 0]",2023-05-11 16:00:14.751262
Tekniska högskolan,Fridhemsplan,"[14, 11]","['Tekniska högskolan', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Fridhemsplan']","[datetime.datetime(1900, 1, 1, 16, 9), 0, datetime.datetime(1900, 1, 1, 16, 21)]","[datetime.datetime(1900, 1, 1, 16, 16), 0, datetime.datetime(1900, 1, 1, 16, 24)]","[0, 3.0, 0]",2023-05-11 16:00:14.751262
Tekniska högskolan,Fridhemsplan,[4],['Östra station'],['Fridhemsplan'],"[datetime.datetime(1900, 1, 1, 16, 9)]","[datetime.datetime(1900, 1, 1, 16, 27)]",[0],2023-05-11 16:00:14.751262
Fridhemsplan,Tekniska högskolan,[4],['Fridhemsplan'],['Östra station'],"[datetime.datetime(1900, 1, 1, 16, 2)]","[datetime.datetime(1900, 1, 1, 16, 19)]",[0],2023-05-11 16:00:15.084160
