StartStation,EndStation,Lines,DepartureStations,ArrivalStations,DepartureTime,ArrivalTime,TransitionTime,RequestTime
Fridhemsplan,Tekniska högskolan,"[19, 6]","['Fridhemsplan', 'Odenplan', 'Odenplan Sveavägen', 'Odenplan', 'Odenplan']","['Odenplan', 'Odenplan Sveavägen', 'Odenplan', 'Odenplan', 'Östra station']","[datetime.datetime(1900, 1, 1, 16, 4), 0, 0, 0, datetime.datetime(1900, 1, 1, 16, 16)]","[datetime.datetime(1900, 1, 1, 16, 7), 0, 0, 0, datetime.datetime(1900, 1, 1, 16, 22)]","[0, 3.0, 2.0, 1.0, 0]",2023-05-11 16:00:15.084160
Fridhemsplan,Tekniska högskolan,[4],['Fridhemsplan'],['Östra station'],"[datetime.datetime(1900, 1, 1, 16, 8)]","[datetime.datetime(1900, 1, 1, 16, 25)]",[0],2023-05-11 16:00:15.084160
Fridhemsplan,Tekniska högskolan,"[10, 14]","['Fridhemsplan', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Tekniska högskolan']","[datetime.datetime(1900, 1, 1, 16, 9), 0, datetime.datetime(1900, 1, 1, 16, 19)]","[datetime.datetime(1900, 1, 1, 16, 14), 0, datetime.datetime(1900, 1, 1, 16, 25)]","[0, 4.0, 0]",2023-05-11 16:00:15.084160
Fridhemsplan,Tekniska högskolan,"[11, 14]","['Fridhemsplan', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Tekniska högskolan']","[datetime.datetime(1900, 1, 1, 16, 13), 0, datetime.datetime(1900, 1, 1, 16, 24)]","[datetime.datetime(1900, 1, 1, 16, 17), 0, datetime.datetime(1900, 1, 1, 16, 30)]","[0, 4.0, 0]",2023-05-11 16:00:15.084160
Tekniska högskolan,Solna Centrum,"[14, 11]","['Tekniska högskolan', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Solna centrum']","[datetime.datetime(1900, 1, 1, 16, 4), 0, datetime.datetime(1900, 1, 1, 16, 14)]","[datetime.datetime(1900, 1, 1, 16, 11), 0, datetime.datetime(1900, 1, 1, 16, 23)]","[0, 3.0, 0]",2023-05-11 16:00:15.660200
Tekniska högskolan,Solna Centrum,"[14, 11]","['Tekniska högskolan', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Solna centrum']","[datetime.datetime(1900, 1, 1, 16, 9), 0, datetime.datetime(1900, 1, 1, 16, 21)]","[datetime.datetime(1900, 1, 1, 16, 16), 0, datetime.datetime(1900, 1, 1, 16, 30)]","[0, 3.0, 0]",2023-05-11 16:00:15.660200
Tekniska högskolan,Solna Centrum,"[14, 11]","['Tekniska högskolan', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Solna centrum']","[datetime.datetime(1900, 1, 1, 16, 14), 0, datetime.datetime(1900, 1, 1, 16, 28)]","[datetime.datetime(1900, 1, 1, 16, 21), 0, datetime.datetime(1900, 1, 1, 16, 37)]","[0, 3.0, 0]",2023-05-11 16:00:15.660200
Tekniska högskolan,Solna Centrum,"[14, 11]","['Tekniska högskolan', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Solna centrum']","[datetime.datetime(1900, 1, 1, 16, 19), 0, datetime.datetime(1900, 1, 1, 16, 28)]","[datetime.datetime(1900, 1, 1, 16, 26), 0, datetime.datetime(1900, 1, 1, 16, 37)]","[0, 3.0, 0]",2023-05-11 16:00:15.660200
Tekniska högskolan,Solna Centrum,"[14, 11]","['Tekniska högskolan', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Solna centrum']","[datetime.datetime(1900, 1, 1, 16, 24), 0, datetime.datetime(1900, 1, 1, 16, 35)]","[datetime.datetime(1900, 1, 1, 16, 31), 0, datetime.datetime(1900, 1, 1, 16, 44)]","[0, 3.0, 0]",2023-05-11 16:00:15.660200
Tekniska högskolan,Solna Centrum,"[14, 11]","['Tekniska högskolan', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Solna centrum']","[datetime.datetime(1900, 1, 1, 16, 29), 0, datetime.datetime(1900, 1, 1, 16, 42)]","[datetime.datetime(1900, 1, 1, 16, 36), 0, datetime.datetime(1900, 1, 1, 16, 51)]","[0, 3.0, 0]",2023-05-11 16:00:15.660200
Tekniska högskolan,Solna Centrum,"[14, 11]","['Tekniska högskolan', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Solna centrum']","[datetime.datetime(1900, 1, 1, 16, 34), 0, datetime.datetime(1900, 1, 1, 16, 49)]","[datetime.datetime(1900, 1, 1, 16, 41), 0, datetime.datetime(1900, 1, 1, 16, 58)]","[0, 3.0, 0]",2023-05-11 16:00:15.660200
Solna Centrum,Tekniska högskolan,"[11, 14]","['Solna centrum', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Tekniska högskolan']","[datetime.datetime(1900, 1, 1, 16, 0), 0, datetime.datetime(1900, 1, 1, 16, 19)]","[datetime.datetime(1900, 1, 1, 16, 10), 0, datetime.datetime(1900, 1, 1, 16, 25)]","[0, 4.0, 0]",2023-05-11 16:00:16.134084
Solna Centrum,Tekniska högskolan,"[11, 14]","['Solna centrum', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Tekniska högskolan']","[datetime.datetime(1900, 1, 1, 16, 0), 0, datetime.datetime(1900, 1, 1, 16, 14)]","[datetime.datetime(1900, 1, 1, 16, 10), 0, datetime.datetime(1900, 1, 1, 16, 20)]","[0, 4.0, 0]",2023-05-11 16:00:16.134084
Solna Centrum,Tekniska högskolan,"[11, 14]","['Solna centrum', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Tekniska högskolan']","[datetime.datetime(1900, 1, 1, 16, 7), 0, datetime.datetime(1900, 1, 1, 16, 24)]","[datetime.datetime(1900, 1, 1, 16, 17), 0, datetime.datetime(1900, 1, 1, 16, 30)]","[0, 4.0, 0]",2023-05-11 16:00:16.134084
Solna Centrum,Tekniska högskolan,"[11, 14]","['Solna centrum', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Tekniska högskolan']","[datetime.datetime(1900, 1, 1, 16, 14), 0, datetime.datetime(1900, 1, 1, 16, 29)]","[datetime.datetime(1900, 1, 1, 16, 24), 0, datetime.datetime(1900, 1, 1, 16, 35)]","[0, 4.0, 0]",2023-05-11 16:00:16.134084
Solna Centrum,Tekniska högskolan,"[11, 14]","['Solna centrum', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Tekniska högskolan']","[datetime.datetime(1900, 1, 1, 16, 21), 0, datetime.datetime(1900, 1, 1, 16, 39)]","[datetime.datetime(1900, 1, 1, 16, 31), 0, datetime.datetime(1900, 1, 1, 16, 45)]","[0, 4.0, 0]",2023-05-11 16:00:16.134084
Solna Centrum,Tekniska högskolan,"[11, 14]","['Solna centrum', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Tekniska högskolan']","[datetime.datetime(1900, 1, 1, 16, 28), 0, datetime.datetime(1900, 1, 1, 16, 44)]","[datetime.datetime(1900, 1, 1, 16, 38), 0, datetime.datetime(1900, 1, 1, 16, 50)]","[0, 4.0, 0]",2023-05-11 16:00:16.134084
Globen,Solna Centrum,"[19, 11]","['Globen', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Solna centrum']","[datetime.datetime(1900, 1, 1, 16, 4), 0, datetime.datetime(1900, 1, 1, 16, 21)]","[datetime.datetime(1900, 1, 1, 16, 16), 0, datetime.datetime(1900, 1, 1, 16, 30)]","[0, 3.0, 0]",2023-05-11 16:00:16.707483
Globen,Solna Centrum,"[30, 152]","['Globen', 'Liljeholmen', 'Tvärbanan Marievik', 'Liljeholmen']","['Liljeholmen', 'Tvärbanan Marievik', 'Liljeholmen', 'Solna centrum (på Huvudstagatan)']","[datetime.datetime(1900, 1, 1, 16, 5), 0, 0, datetime.datetime(1900, 1, 1, 16, 20)]","[datetime.datetime(1900, 1, 1, 16, 17), 0, 0, datetime.datetime(1900, 1, 1, 16, 41)]","[0, 1.0, 0.0, 0]",2023-05-11 16:00:16.707483
Globen,Solna Centrum,[30],['Globen'],['Solna centrum'],"[datetime.datetime(1900, 1, 1, 16, 5)]","[datetime.datetime(1900, 1, 1, 16, 45)]",[0],2023-05-11 16:00:16.707483
Globen,Solna Centrum,[30],['Globen'],['Solna centrum'],"[datetime.datetime(1900, 1, 1, 15, 58)]","[datetime.datetime(1900, 1, 1, 16, 38)]",[0],2023-05-11 16:00:16.707483
Globen,Solna Centrum,[30],['Globen'],['Solna centrum'],"[datetime.datetime(1900, 1, 1, 16, 11)]","[datetime.datetime(1900, 1, 1, 16, 51)]",[0],2023-05-11 16:00:16.707483
Globen,Solna Centrum,"[19, 11]","['Globen', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Solna centrum']","[datetime.datetime(1900, 1, 1, 16, 13), 0, datetime.datetime(1900, 1, 1, 16, 28)]","[datetime.datetime(1900, 1, 1, 16, 25), 0, datetime.datetime(1900, 1, 1, 16, 37)]","[0, 3.0, 0]",2023-05-11 16:00:16.707483
Globen,Solna Centrum,"[19, 11]","['Globen', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Solna centrum']","[datetime.datetime(1900, 1, 1, 16, 13), 0, datetime.datetime(1900, 1, 1, 16, 35)]","[datetime.datetime(1900, 1, 1, 16, 25), 0, datetime.datetime(1900, 1, 1, 16, 44)]","[0, 3.0, 0]",2023-05-11 16:00:16.707483
Globen,Solna Centrum,"[30, 17, 11]","['Globen', 'Gullmarsplan', 'Gullmarsplan', 'T-Centralen', 'T-Centralen']","['Gullmarsplan', 'Gullmarsplan', 'T-Centralen', 'T-Centralen', 'Solna centrum']","[datetime.datetime(1900, 1, 1, 16, 14), 0, datetime.datetime(1900, 1, 1, 16, 21), 0, datetime.datetime(1900, 1, 1, 16, 35)]","[datetime.datetime(1900, 1, 1, 16, 17), 0, datetime.datetime(1900, 1, 1, 16, 30), 0, datetime.datetime(1900, 1, 1, 16, 44)]","[0, 3.0, 0, 3.0, 0]",2023-05-11 16:00:16.707483
Solna Centrum,Globen,"[11, 19]","['Solna centrum', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Globen']","[datetime.datetime(1900, 1, 1, 16, 0), 0, datetime.datetime(1900, 1, 1, 16, 20)]","[datetime.datetime(1900, 1, 1, 16, 10), 0, datetime.datetime(1900, 1, 1, 16, 31)]","[0, 3.0, 0]",2023-05-11 16:00:17.187291
Solna Centrum,Globen,"[152, 30]","['Solna centrum (på Huvudstagatan)', 'Liljeholmen', 'Liljeholmen']","['Liljeholmen', 'Liljeholmen', 'Globen']","[datetime.datetime(1900, 1, 1, 16, 2), 0, datetime.datetime(1900, 1, 1, 16, 11)]","[datetime.datetime(1900, 1, 1, 16, 36), 0, datetime.datetime(1900, 1, 1, 16, 21)]","[0, 4.0, 0]",2023-05-11 16:00:17.187291
Solna Centrum,Globen,[30],['Solna centrum'],['Globen'],"[datetime.datetime(1900, 1, 1, 16, 2)]","[datetime.datetime(1900, 1, 1, 16, 41)]",[0],2023-05-11 16:00:17.187291
Solna Centrum,Globen,"[11, 19]","['Solna centrum', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Globen']","[datetime.datetime(1900, 1, 1, 16, 7), 0, datetime.datetime(1900, 1, 1, 16, 25)]","[datetime.datetime(1900, 1, 1, 16, 17), 0, datetime.datetime(1900, 1, 1, 16, 36)]","[0, 3.0, 0]",2023-05-11 16:00:17.187291
Solna Centrum,Globen,[30],['Solna centrum'],['Globen'],"[datetime.datetime(1900, 1, 1, 16, 9)]","[datetime.datetime(1900, 1, 1, 16, 48)]",[0],2023-05-11 16:00:17.187291
Solna Centrum,Globen,"[11, 19]","['Solna centrum', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Globen']","[datetime.datetime(1900, 1, 1, 16, 14), 0, datetime.datetime(1900, 1, 1, 16, 33)]","[datetime.datetime(1900, 1, 1, 16, 24), 0, datetime.datetime(1900, 1, 1, 16, 44)]","[0, 3.0, 0]",2023-05-11 16:00:17.187291
Tekniska högskolan,Fridhemsplan,"[14, 10]","['Tekniska högskolan', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Fridhemsplan']","[datetime.datetime(1900, 1, 1, 15, 59), 0, datetime.datetime(1900, 1, 1, 16, 11)]","[datetime.datetime(1900, 1, 1, 16, 6), 0, datetime.datetime(1900, 1, 1, 16, 14)]","[0, 3.0, 0]",2023-05-11 16:00:55.013394
Tekniska högskolan,Fridhemsplan,[4],['Östra station'],['Fridhemsplan'],"[datetime.datetime(1900, 1, 1, 15, 56)]","[datetime.datetime(1900, 1, 1, 16, 14)]",[0],2023-05-11 16:00:55.013394
Tekniska högskolan,Fridhemsplan,"[4, 19]","['Östra station', 'Odenplan', 'Odenplan Sveavägen', 'Odenplan']","['Odenplan', 'Odenplan Sveavägen', 'Odenplan', 'Fridhemsplan']","[datetime.datetime(1900, 1, 1, 16, 3), 0, 0, datetime.datetime(1900, 1, 1, 16, 16)]","[datetime.datetime(1900, 1, 1, 16, 10), 0, 0, datetime.datetime(1900, 1, 1, 16, 19)]","[0, 2.0, 3.0, 0]",2023-05-11 16:00:55.013394
Tekniska högskolan,Fridhemsplan,[4],['Östra station'],['Fridhemsplan'],"[datetime.datetime(1900, 1, 1, 16, 3)]","[datetime.datetime(1900, 1, 1, 16, 21)]",[0],2023-05-11 16:00:55.013394
Tekniska högskolan,Fridhemsplan,"[14, 11]","['Tekniska högskolan', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Fridhemsplan']","[datetime.datetime(1900, 1, 1, 16, 4), 0, datetime.datetime(1900, 1, 1, 16, 14)]","[datetime.datetime(1900, 1, 1, 16, 11), 0, datetime.datetime(1900, 1, 1, 16, 17)]","[0, 3.0, 0]",2023-05-11 16:00:55.013394
Tekniska högskolan,Fridhemsplan,"[14, 10]","['Tekniska högskolan', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Fridhemsplan']","[datetime.datetime(1900, 1, 1, 16, 4), 0, datetime.datetime(1900, 1, 1, 16, 18)]","[datetime.datetime(1900, 1, 1, 16, 11), 0, datetime.datetime(1900, 1, 1, 16, 21)]","[0, 3.0, 0]",2023-05-11 16:00:55.013394
Tekniska högskolan,Fridhemsplan,"[14, 10]","['Tekniska högskolan', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Fridhemsplan']","[datetime.datetime(1900, 1, 1, 16, 9), 0, datetime.datetime(1900, 1, 1, 16, 18)]","[datetime.datetime(1900, 1, 1, 16, 16), 0, datetime.datetime(1900, 1, 1, 16, 21)]","[0, 3.0, 0]",2023-05-11 16:00:55.013394
Tekniska högskolan,Fridhemsplan,"[14, 11]","['Tekniska högskolan', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Fridhemsplan']","[datetime.datetime(1900, 1, 1, 16, 9), 0, datetime.datetime(1900, 1, 1, 16, 21)]","[datetime.datetime(1900, 1, 1, 16, 16), 0, datetime.datetime(1900, 1, 1, 16, 24)]","[0, 3.0, 0]",2023-05-11 16:00:55.013394
Tekniska högskolan,Fridhemsplan,[4],['Östra station'],['Fridhemsplan'],"[datetime.datetime(1900, 1, 1, 16, 9)]","[datetime.datetime(1900, 1, 1, 16, 27)]",[0],2023-05-11 16:00:55.013394
Fridhemsplan,Tekniska högskolan,"[11, 14]","['Fridhemsplan', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Tekniska högskolan']","[datetime.datetime(1900, 1, 1, 15, 59), 0, datetime.datetime(1900, 1, 1, 16, 9)]","[datetime.datetime(1900, 1, 1, 16, 3), 0, datetime.datetime(1900, 1, 1, 16, 15)]","[0, 4.0, 0]",2023-05-11 16:00:55.490152
Fridhemsplan,Tekniska högskolan,[4],['Fridhemsplan'],['Östra station'],"[datetime.datetime(1900, 1, 1, 16, 2)]","[datetime.datetime(1900, 1, 1, 16, 19)]",[0],2023-05-11 16:00:55.490152
Fridhemsplan,Tekniska högskolan,"[19, 6]","['Fridhemsplan', 'Odenplan', 'Odenplan Sveavägen', 'Odenplan', 'Odenplan']","['Odenplan', 'Odenplan Sveavägen', 'Odenplan', 'Odenplan', 'Östra station']","[datetime.datetime(1900, 1, 1, 16, 4), 0, 0, 0, datetime.datetime(1900, 1, 1, 16, 16)]","[datetime.datetime(1900, 1, 1, 16, 7), 0, 0, 0, datetime.datetime(1900, 1, 1, 16, 22)]","[0, 3.0, 2.0, 1.0, 0]",2023-05-11 16:00:55.490152
Fridhemsplan,Tekniska högskolan,"[11, 14]","['Fridhemsplan', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Tekniska högskolan']","[datetime.datetime(1900, 1, 1, 16, 6), 0, datetime.datetime(1900, 1, 1, 16, 14)]","[datetime.datetime(1900, 1, 1, 16, 10), 0, datetime.datetime(1900, 1, 1, 16, 20)]","[0, 4.0, 0]",2023-05-11 16:00:55.490152
Fridhemsplan,Tekniska högskolan,[4],['Fridhemsplan'],['Östra station'],"[datetime.datetime(1900, 1, 1, 16, 8)]","[datetime.datetime(1900, 1, 1, 16, 25)]",[0],2023-05-11 16:00:55.490152
Fridhemsplan,Tekniska högskolan,"[10, 14]","['Fridhemsplan', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Tekniska högskolan']","[datetime.datetime(1900, 1, 1, 16, 9), 0, datetime.datetime(1900, 1, 1, 16, 19)]","[datetime.datetime(1900, 1, 1, 16, 14), 0, datetime.datetime(1900, 1, 1, 16, 25)]","[0, 4.0, 0]",2023-05-11 16:00:55.490152
Fridhemsplan,Tekniska högskolan,"[11, 14]","['Fridhemsplan', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Tekniska högskolan']","[datetime.datetime(1900, 1, 1, 16, 13), 0, datetime.datetime(1900, 1, 1, 16, 24)]","[datetime.datetime(1900, 1, 1, 16, 17), 0, datetime.datetime(1900, 1, 1, 16, 30)]","[0, 4.0, 0]",2023-05-11 16:00:55.490152
Tekniska högskolan,Solna Centrum,"[14, 11]","['Tekniska högskolan', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Solna centrum']","[datetime.datetime(1900, 1, 1, 16, 4), 0, datetime.datetime(1900, 1, 1, 16, 14)]","[datetime.datetime(1900, 1, 1, 16, 11), 0, datetime.datetime(1900, 1, 1, 16, 23)]","[0, 3.0, 0]",2023-05-11 16:00:56.123649
Tekniska högskolan,Solna Centrum,"[14, 11]","['Tekniska högskolan', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Solna centrum']","[datetime.datetime(1900, 1, 1, 16, 9), 0, datetime.datetime(1900, 1, 1, 16, 21)]","[datetime.datetime(1900, 1, 1, 16, 16), 0, datetime.datetime(1900, 1, 1, 16, 30)]","[0, 3.0, 0]",2023-05-11 16:00:56.123649
Tekniska högskolan,Solna Centrum,"[14, 11]","['Tekniska högskolan', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Solna centrum']","[datetime.datetime(1900, 1, 1, 16, 14), 0, datetime.datetime(1900, 1, 1, 16, 28)]","[datetime.datetime(1900, 1, 1, 16, 21), 0, datetime.datetime(1900, 1, 1, 16, 37)]","[0, 3.0, 0]",2023-05-11 16:00:56.123649
Tekniska högskolan,Solna Centrum,"[14, 11]","['Tekniska högskolan', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Solna centrum']","[datetime.datetime(1900, 1, 1, 16, 19), 0, datetime.datetime(1900, 1, 1, 16, 28)]","[datetime.datetime(1900, 1, 1, 16, 26), 0, datetime.datetime(1900, 1, 1, 16, 37)]","[0, 3.0, 0]",2023-05-11 16:00:56.123649
Tekniska högskolan,Solna Centrum,"[14, 11]","['Tekniska högskolan', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Solna centrum']","[datetime.datetime(1900, 1, 1, 16, 24), 0, datetime.datetime(1900, 1, 1, 16, 35)]","[datetime.datetime(1900, 1, 1, 16, 31), 0, datetime.datetime(1900, 1, 1, 16, 44)]","[0, 3.0, 0]",2023-05-11 16:00:56.123649
Tekniska högskolan,Solna Centrum,"[14, 11]","['Tekniska högskolan', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Solna centrum']","[datetime.datetime(1900, 1, 1, 16, 29), 0, datetime.datetime(1900, 1, 1, 16, 42)]","[datetime.datetime(1900, 1, 1, 16, 36), 0, datetime.datetime(1900, 1, 1, 16, 51)]","[0, 3.0, 0]",2023-05-11 16:00:56.123649
Tekniska högskolan,Solna Centrum,"[14, 11]","['Tekniska högskolan', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Solna centrum']","[datetime.datetime(1900, 1, 1, 16, 34), 0, datetime.datetime(1900, 1, 1, 16, 49)]","[datetime.datetime(1900, 1, 1, 16, 41), 0, datetime.datetime(1900, 1, 1, 16, 58)]","[0, 3.0, 0]",2023-05-11 16:00:56.123649
Solna Centrum,Tekniska högskolan,"[11, 14]","['Solna centrum', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Tekniska högskolan']","[datetime.datetime(1900, 1, 1, 16, 0), 0, datetime.datetime(1900, 1, 1, 16, 19)]","[datetime.datetime(1900, 1, 1, 16, 10), 0, datetime.datetime(1900, 1, 1, 16, 25)]","[0, 4.0, 0]",2023-05-11 16:00:56.874738
Solna Centrum,Tekniska högskolan,"[11, 14]","['Solna centrum', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Tekniska högskolan']","[datetime.datetime(1900, 1, 1, 16, 0), 0, datetime.datetime(1900, 1, 1, 16, 14)]","[datetime.datetime(1900, 1, 1, 16, 10), 0, datetime.datetime(1900, 1, 1, 16, 20)]","[0, 4.0, 0]",2023-05-11 16:00:56.874738
Solna Centrum,Tekniska högskolan,"[11, 14]","['Solna centrum', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Tekniska högskolan']","[datetime.datetime(1900, 1, 1, 16, 7), 0, datetime.datetime(1900, 1, 1, 16, 24)]","[datetime.datetime(1900, 1, 1, 16, 17), 0, datetime.datetime(1900, 1, 1, 16, 30)]","[0, 4.0, 0]",2023-05-11 16:00:56.874738
Solna Centrum,Tekniska högskolan,"[11, 14]","['Solna centrum', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Tekniska högskolan']","[datetime.datetime(1900, 1, 1, 16, 14), 0, datetime.datetime(1900, 1, 1, 16, 29)]","[datetime.datetime(1900, 1, 1, 16, 24), 0, datetime.datetime(1900, 1, 1, 16, 35)]","[0, 4.0, 0]",2023-05-11 16:00:56.874738
Solna Centrum,Tekniska högskolan,"[11, 14]","['Solna centrum', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Tekniska högskolan']","[datetime.datetime(1900, 1, 1, 16, 21), 0, datetime.datetime(1900, 1, 1, 16, 39)]","[datetime.datetime(1900, 1, 1, 16, 31), 0, datetime.datetime(1900, 1, 1, 16, 45)]","[0, 4.0, 0]",2023-05-11 16:00:56.874738
Solna Centrum,Tekniska högskolan,"[11, 14]","['Solna centrum', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Tekniska högskolan']","[datetime.datetime(1900, 1, 1, 16, 28), 0, datetime.datetime(1900, 1, 1, 16, 44)]","[datetime.datetime(1900, 1, 1, 16, 38), 0, datetime.datetime(1900, 1, 1, 16, 50)]","[0, 4.0, 0]",2023-05-11 16:00:56.874738
