,RequestTime,StartingStation,EndingStation,ModelOld,ModelDelay,ModelDelay50,ModelDelay90,Value_ModelOld,Value_ModelDelay,Value_ModelDelay50,Value_ModelDelay90
173,1900-01-01 07:14:35,Globen,Solna Centrum,1900-01-01 07:53:15,1900-01-01 07:53:15,1900-01-01 07:53:15,1900-01-01 07:53:15,True,True,True,True
174,1900-01-01 16:55:29,Solna Centrum,Tekniska högskolan,1900-01-01 17:54:55,1900-01-01 17:30:18,1900-01-01 17:30:18,1900-01-01 17:30:18,True,True,True,True
175,1900-01-01 16:29:22,Solna Centrum,Tekniska högskolan,1900-01-01 17:05:00,1900-01-01 17:05:00,1900-01-01 17:05:00,1900-01-01 17:05:00,True,True,True,True
176,1900-01-01 16:37:08,Tekniska högskolan,Fridhemsplan,1900-01-01 17:03:00,1900-01-01 17:03:00,1900-01-01 17:03:00,1900-01-01 17:03:00,True,True,True,True
177,1900-01-01 08:18:42,Solna Centrum,Globen,1900-01-01 09:00:30,1900-01-01 09:00:30,1900-01-01 09:00:30,1900-01-01 09:00:30,True,True,True,True
178,1900-01-01 08:04:02,Solna Centrum,Globen,1900-01-01 08:49:00,1900-01-01 08:49:00,1900-01-01 08:49:00,1900-01-01 08:49:00,True,True,True,True
179,1900-01-01 17:22:43,Tekniska högskolan,Fridhemsplan,1900-01-01 17:49:23,1900-01-01 17:49:23,1900-01-01 17:49:23,1900-01-01 17:49:23,True,True,True,True
180,1900-01-01 07:49:05,Tekniska högskolan,Fridhemsplan,1900-01-01 08:15:11,1900-01-01 08:15:11,1900-01-01 08:15:11,1900-01-01 08:15:11,True,True,True,True
181,1900-01-01 16:19:50,Fridhemsplan,Tekniska högskolan,1900-01-01 16:57:41,1900-01-01 16:45:00,1900-01-01 16:45:00,1900-01-01 16:50:00,True,True,True,True
182,1900-01-01 17:17:43,Globen,Solna Centrum,1900-01-01 18:01:45,1900-01-01 18:09:08,1900-01-01 18:01:45,1900-01-01 18:01:45,True,True,True,True
183,1900-01-01 07:43:13,Fridhemsplan,Tekniska högskolan,1900-01-01 08:10:00,1900-01-01 08:10:00,1900-01-01 08:10:00,1900-01-01 08:10:00,True,True,True,True
184,1900-01-01 08:16:34,Globen,Solna Centrum,1900-01-01 08:57:07,1900-01-01 08:57:07,1900-01-01 08:57:07,1900-01-01 09:04:05,True,True,True,True
185,1900-01-01 16:34:06,Fridhemsplan,Tekniska högskolan,1900-01-01 17:00:00,1900-01-01 17:00:00,1900-01-01 17:00:00,1900-01-01 17:00:00,True,True,True,True
186,1900-01-01 16:13:46,Tekniska högskolan,Fridhemsplan,1900-01-01 16:38:41,1900-01-01 16:38:41,1900-01-01 16:38:41,1900-01-01 16:38:41,True,True,True,True
187,1900-01-01 17:43:28,Solna Centrum,Globen,,,,,True,False,False,False
188,1900-01-01 07:49:08,Solna Centrum,Globen,1900-01-01 08:30:00,1900-01-01 08:30:00,1900-01-01 08:30:00,1900-01-01 08:30:00,True,True,True,True
189,1900-01-01 17:11:15,Solna Centrum,Tekniska högskolan,1900-01-01 17:50:00,1900-01-01 17:50:00,1900-01-01 17:50:00,1900-01-01 17:50:00,True,True,True,True
190,1900-01-01 16:52:40,Globen,Solna Centrum,1900-01-01 17:34:54,1900-01-01 17:34:54,1900-01-01 17:34:54,1900-01-01 17:34:54,True,True,True,True
191,1900-01-01 08:27:41,Globen,Solna Centrum,1900-01-01 09:04:05,1900-01-01 09:04:05,1900-01-01 09:04:05,1900-01-01 09:10:45,True,True,True,True
192,1900-01-01 07:35:57,Tekniska högskolan,Fridhemsplan,1900-01-01 08:05:40,1900-01-01 08:05:40,1900-01-01 08:05:40,1900-01-01 08:05:40,True,True,True,True
193,1900-01-01 16:04:22,Solna Centrum,Tekniska högskolan,1900-01-01 16:35:07,1900-01-01 16:35:07,1900-01-01 16:35:07,1900-01-01 16:35:07,True,True,True,True
194,1900-01-01 17:14:33,Tekniska högskolan,Fridhemsplan,1900-01-01 17:46:48,1900-01-01 17:46:48,1900-01-01 17:46:48,1900-01-01 17:46:48,True,True,True,True
195,1900-01-01 08:26:28,Solna Centrum,Globen,1900-01-01 09:07:30,1900-01-01 09:07:30,1900-01-01 09:07:30,1900-01-01 09:07:30,True,True,True,True
196,1900-01-01 08:29:37,Tekniska högskolan,Solna Centrum,1900-01-01 09:04:05,1900-01-01 09:04:05,1900-01-01 09:04:05,1900-01-01 09:07:09,True,True,True,True
197,1900-01-01 17:09:47,Tekniska högskolan,Fridhemsplan,1900-01-01 17:38:00,1900-01-01 17:38:00,1900-01-01 17:38:00,1900-01-01 17:38:00,True,True,True,True
198,1900-01-01 16:07:04,Solna Centrum,Globen,1900-01-01 16:51:45,1900-01-01 16:51:45,1900-01-01 16:51:45,1900-01-01 16:51:45,True,True,True,True
199,1900-01-01 17:13:54,Solna Centrum,Tekniska högskolan,1900-01-01 17:50:00,1900-01-01 17:50:00,1900-01-01 17:50:00,1900-01-01 17:50:00,True,True,True,True
200,1900-01-01 07:06:05,Solna Centrum,Globen,1900-01-01 07:50:00,1900-01-01 07:50:00,1900-01-01 07:50:00,1900-01-01 07:50:00,True,True,True,True
201,1900-01-01 08:23:54,Fridhemsplan,Tekniska högskolan,1900-01-01 08:51:36,1900-01-01 08:51:36,1900-01-01 08:51:36,1900-01-01 08:51:27,True,True,True,True
202,1900-01-01 07:49:06,Solna Centrum,Tekniska högskolan,1900-01-01 08:30:00,1900-01-01 08:25:06,1900-01-01 08:25:06,1900-01-01 08:30:00,True,True,True,True
203,1900-01-01 07:32:42,Solna Centrum,Tekniska högskolan,1900-01-01 08:05:00,1900-01-01 08:05:00,1900-01-01 08:05:00,1900-01-01 08:05:00,True,True,True,True
204,1900-01-01 07:52:18,Fridhemsplan,Tekniska högskolan,1900-01-01 08:20:04,1900-01-01 08:20:04,1900-01-01 08:20:04,1900-01-01 08:20:04,True,True,True,True
205,1900-01-01 16:05:30,Solna Centrum,Tekniska högskolan,1900-01-01 16:45:00,1900-01-01 16:54:30,1900-01-01 16:54:30,1900-01-01 16:45:00,True,True,True,True
206,1900-01-01 17:19:11,Solna Centrum,Tekniska högskolan,1900-01-01 17:55:18,1900-01-01 17:55:18,1900-01-01 17:55:18,1900-01-01 17:55:18,True,True,True,True
207,1900-01-01 17:19:10,Tekniska högskolan,Solna Centrum,1900-01-01 17:49:44,1900-01-01 17:49:44,1900-01-01 17:49:44,1900-01-01 17:49:44,True,True,True,True
208,1900-01-01 08:04:38,Tekniska högskolan,Solna Centrum,1900-01-01 08:35:15,1900-01-01 08:35:15,1900-01-01 08:35:15,1900-01-01 08:35:15,True,True,True,True
209,1900-01-01 16:47:01,Globen,Solna Centrum,1900-01-01 17:27:29,1900-01-01 17:27:29,1900-01-01 17:27:29,1900-01-01 17:27:29,True,True,True,True
210,1900-01-01 17:37:38,Fridhemsplan,Tekniska högskolan,1900-01-01 18:04:59,1900-01-01 18:04:59,1900-01-01 18:04:59,1900-01-01 18:04:59,True,True,True,True
211,1900-01-01 16:52:41,Solna Centrum,Globen,1900-01-01 17:31:45,1900-01-01 17:31:45,1900-01-01 17:31:45,1900-01-01 17:31:45,True,True,True,True
212,1900-01-01 16:09:09,Solna Centrum,Tekniska högskolan,1900-01-01 16:45:00,1900-01-01 16:45:00,1900-01-01 16:45:00,1900-01-01 16:45:00,True,True,True,True
