GroupOfLine,TransportMode,LineNumber,Destination,JourneyDirection,StopAreaName,StopAreaNumber,StopPointNumber,StopPointDesignation,TimeTabledDateTime,ExpectedDateTime,DisplayTime,JourneyNumber,Deviations,RequestTime,Station
tunnelbanans blå linje,METRO,10,Kungsträdgården,2,T-Centralen,1051,3052,6,2023-04-23T08:40:00,2023-04-23T08:40:00,Nu,36130,,2023-04-23 08:39:41.709980,T-Centralen
tunnelbanans blå linje,METRO,11,Akalla,1,T-Centralen,1051,3051,5,2023-04-23T08:40:30,2023-04-23T08:40:30,Nu,36337,,2023-04-23 08:39:41.709980,T-Centralen
tunnelbanans blå linje,METRO,10,Hjulsta,1,T-Centralen,1051,3051,5,2023-04-23T08:45:30,2023-04-23T08:45:30,5 min,36236,,2023-04-23 08:39:41.709980,T-Centralen
tunnelbanans gröna linje,METRO,18,Farsta strand,2,T-Centralen,1051,1052,4,2023-04-23T08:46:00,2023-04-23T08:46:01,6 min,16106,,2023-04-23 08:39:41.709980,T-Centralen
tunnelbanans gröna linje,METRO,17,Hässelby strand,1,T-Centralen,1051,2051,1,2023-04-23T08:45:00,2023-04-23T08:46:22,6 min,16905,,2023-04-23 08:39:41.709980,T-Centralen
tunnelbanans blå linje,METRO,11,Kungsträdgården,2,T-Centralen,1051,3052,6,2023-04-23T08:47:00,2023-04-23T08:47:00,7 min,36012,,2023-04-23 08:39:41.709980,T-Centralen
tunnelbanans röda linje,METRO,14,Fruängen,2,T-Centralen,1051,2052,2,2023-04-23T08:46:00,2023-04-23T08:47:09,7 min,26278,,2023-04-23 08:39:41.709980,T-Centralen
tunnelbanans röda linje,METRO,13,Ropsten,1,T-Centralen,1051,1051,3,2023-04-23T08:46:00,2023-04-23T08:47:10,7 min,26458,,2023-04-23 08:39:41.709980,T-Centralen
tunnelbanans blå linje,METRO,11,Akalla,1,T-Centralen,1051,3051,5,2023-04-23T08:50:30,2023-04-23T08:50:30,10 min,36338,,2023-04-23 08:39:41.709980,T-Centralen
tunnelbanans gröna linje,METRO,18,Alvik,1,T-Centralen,1051,2051,1,2023-04-23T08:51:00,2023-04-23T08:51:03,11 min,16301,,2023-04-23 08:39:41.709980,T-Centralen
tunnelbanans blå linje,METRO,10,Kungsträdgården,2,T-Centralen,1051,3052,6,2023-04-23T08:52:00,2023-04-23T08:52:00,12 min,36131,,2023-04-23 08:39:41.709980,T-Centralen
tunnelbanans gröna linje,METRO,17,Skarpnäck,2,T-Centralen,1051,1052,4,2023-04-23T08:53:00,2023-04-23T08:53:00,13 min,16626,,2023-04-23 08:39:41.709980,T-Centralen
tunnelbanans röda linje,METRO,13,Norsborg,2,T-Centralen,1051,2052,2,2023-04-23T08:53:00,2023-04-23T08:53:00,13 min,26573,,2023-04-23 08:39:41.709980,T-Centralen
tunnelbanans röda linje,METRO,14,Mörby centrum,1,T-Centralen,1051,1051,3,2023-04-23T08:53:00,2023-04-23T08:53:43,14 min,26020,,2023-04-23 08:39:41.709980,T-Centralen
tunnelbanans blå linje,METRO,10,Hjulsta,1,T-Centralen,1051,3051,5,2023-04-23T08:55:30,2023-04-23T08:55:30,15 min,36237,,2023-04-23 08:39:41.709980,T-Centralen
tunnelbanans blå linje,METRO,11,Kungsträdgården,2,T-Centralen,1051,3052,6,2023-04-23T08:57:00,2023-04-23T08:57:00,17 min,36013,,2023-04-23 08:39:41.709980,T-Centralen
tunnelbanans gröna linje,METRO,17,Hässelby strand,1,T-Centralen,1051,2051,1,2023-04-23T08:58:00,2023-04-23T08:58:04,18 min,16906,,2023-04-23 08:39:41.709980,T-Centralen
tunnelbanans röda linje,METRO,14,Fruängen,2,T-Centralen,1051,2052,2,2023-04-23T09:00:00,2023-04-23T09:00:00,20 min,26279,,2023-04-23 08:39:41.709980,T-Centralen
tunnelbanans blå linje,METRO,11,Akalla,1,T-Centralen,1051,3051,5,2023-04-23T09:00:30,2023-04-23T09:00:30,09:00,36339,,2023-04-23 08:39:41.709980,T-Centralen
tunnelbanans gröna linje,METRO,18,Odenplan,1,T-Centralen,1051,2051,1,2023-04-23T09:01:00,2023-04-23T09:01:00,21 min,16302,,2023-04-23 08:39:41.709980,T-Centralen
tunnelbanans gröna linje,METRO,18,Farsta strand,2,T-Centralen,1051,1052,4,2023-04-23T09:01:00,2023-04-23T09:01:00,09:01,16107,,2023-04-23 08:39:41.709980,T-Centralen
tunnelbanans röda linje,METRO,13,Ropsten,1,T-Centralen,1051,1051,3,2023-04-23T09:01:00,2023-04-23T09:01:56,22 min,26459,,2023-04-23 08:39:41.709980,T-Centralen
tunnelbanans blå linje,METRO,10,Kungsträdgården,2,T-Centralen,1051,3052,6,2023-04-23T09:02:00,2023-04-23T09:02:00,22 min,36132,,2023-04-23 08:39:41.709980,T-Centralen
tunnelbanans röda linje,METRO,14,Mörby centrum,1,T-Centralen,1051,1051,3,2023-04-23T09:04:00,2023-04-23T09:04:17,24 min,26021,,2023-04-23 08:39:41.709980,T-Centralen
tunnelbanans röda linje,METRO,13,Norsborg,2,T-Centralen,1051,2052,2,2023-04-23T09:04:30,2023-04-23T09:04:30,09:04,26574,,2023-04-23 08:39:41.709980,T-Centralen
tunnelbanans gröna linje,METRO,17,Skarpnäck,2,T-Centralen,1051,1052,4,2023-04-23T09:05:00,2023-04-23T09:05:01,25 min,17023,,2023-04-23 08:39:41.709980,T-Centralen
tunnelbanans blå linje,METRO,10,Hjulsta,1,T-Centralen,1051,3051,5,2023-04-23T09:05:30,2023-04-23T09:05:30,09:05,36238,,2023-04-23 08:39:41.709980,T-Centralen
tunnelbanans gröna linje,METRO,19,Alvik,1,T-Centralen,1051,2051,1,2023-04-23T09:06:30,2023-04-23T09:06:34,26 min,16519,,2023-04-23 08:39:41.709980,T-Centralen
tunnelbanans blå linje,METRO,11,Kungsträdgården,2,T-Centralen,1051,3052,6,2023-04-23T09:07:00,2023-04-23T09:07:00,27 min,36014,,2023-04-23 08:39:41.709980,T-Centralen
tunnelbanans röda linje,METRO,13,Ropsten,1,T-Centralen,1051,1051,3,2023-04-23T09:07:30,2023-04-23T09:07:30,09:07,26124,,2023-04-23 08:39:41.709980,T-Centralen
tunnelbanans gröna linje,METRO,19,Hagsätra,2,T-Centralen,1051,1052,4,2023-04-23T09:08:00,2023-04-23T09:08:00,28 min,16627,,2023-04-23 08:39:41.709980,T-Centralen
tunnelbanans röda linje,METRO,14,Fruängen,2,T-Centralen,1051,2052,2,2023-04-23T09:09:30,2023-04-23T09:09:30,09:09,26280,,2023-04-23 08:39:41.709980,T-Centralen
tunnelbanans röda linje,METRO,14,Fruängen,2,Tekniska högskolan,2221,2222,2,2023-04-23T08:40:15,2023-04-23T08:40:51,1 min,26278,,2023-04-23 08:39:41.932938,Tekniska högskolan
