GroupOfLine,TransportMode,LineNumber,Destination,JourneyDirection,StopAreaName,StopAreaNumber,StopPointNumber,StopPointDesignation,TimeTabledDateTime,ExpectedDateTime,DisplayTime,JourneyNumber,Deviations,RequestTime,Station
tunnelbanans röda linje,METRO,14,Mörby centrum,1,Tekniska högskolan,2221,2221,1,2023-04-23T08:44:00,2023-04-23T08:44:31,4 min,26019,,2023-04-23 08:39:41.932938,Tekniska högskolan
tunnelbanans röda linje,METRO,14,Fruängen,2,Tekniska högskolan,2221,2222,2,2023-04-23T08:54:15,2023-04-23T08:54:18,14 min,26279,,2023-04-23 08:39:41.932938,Tekniska högskolan
tunnelbanans röda linje,METRO,14,Mörby centrum,1,Tekniska högskolan,2221,2221,1,2023-04-23T08:59:00,2023-04-23T08:59:41,19 min,26020,,2023-04-23 08:39:41.932938,Tekniska högskolan
blåbuss,BUS,676,Norrtälje,1,Tekniska högskolan,60080,60088,G,2023-04-23T08:40:00,2023-04-23T08:40:00,Nu,10840,,2023-04-23 08:39:41.932938,Tekniska högskolan
blåbuss,BUS,4,Gullmarsplan,1,Östra station,10194,10317,B,2023-04-23T08:42:00,2023-04-23T08:43:05,3 min,3881,"[{'Text': 'Hållplats Jungfrugatan, Mariebergsgatan och Högalidsgatan är indragna.', 'Consequence': 'INFORMATION', 'ImportanceLevel': 7}]",2023-04-23 08:39:41.932938,Tekniska högskolan
blåbuss,BUS,670,Vaxholm,1,Tekniska högskolan,60080,60083,F,2023-04-23T08:49:00,2023-04-23T08:49:00,08:49,10851,"[{'Text': 'Vägarbete i Engarn. Förändringar för flertalet linjer. Sök din resa i reseplaneraren. Detta gäller mellan 2023-04-03 till 2023-06-22.', 'Consequence': 'INFORMATION', 'ImportanceLevel': 5}]",2023-04-23 08:39:41.932938,Tekniska högskolan
blåbuss,BUS,4,Radiohuset,2,Östra station,10194,10195,M,2023-04-23T08:48:00,2023-04-23T08:50:11,10 min,3769,"[{'Text': 'Hållplats Jungfrugatan, Mariebergsgatan och Högalidsgatan är indragna.', 'Consequence': 'INFORMATION', 'ImportanceLevel': 7}]",2023-04-23 08:39:41.932938,Tekniska högskolan
,BUS,67,Odenplan,2,Östra station,10194,10194,A,2023-04-23T08:50:00,2023-04-23T08:50:57,11 min,8714,,2023-04-23 08:39:41.932938,Tekniska högskolan
blåbuss,BUS,6,Ropsten,1,Östra station,10194,10195,M,2023-04-23T08:56:00,2023-04-23T08:56:00,08:56,4539,,2023-04-23 08:39:41.932938,Tekniska högskolan
blåbuss,BUS,4,Gullmarsplan,1,Östra station,10194,10317,B,2023-04-23T08:57:00,2023-04-23T08:57:00,08:57,3882,"[{'Text': 'Hållplats Jungfrugatan, Mariebergsgatan och Högalidsgatan är indragna.', 'Consequence': 'INFORMATION', 'ImportanceLevel': 7}]",2023-04-23 08:39:41.932938,Tekniska högskolan
blåbuss,BUS,6,Karolinska institutet,2,Östra station,10194,10317,B,2023-04-23T08:58:00,2023-04-23T08:58:00,08:58,4607,,2023-04-23 08:39:41.932938,Tekniska högskolan
tunnelbanans blå linje,METRO,11,Kungsträdgården,2,Solna centrum,3211,3212,2,2023-04-23T08:47:45,2023-04-23T08:47:51,8 min,36013,,2023-04-23 08:39:42.167311,Solna Centrum
tunnelbanans blå linje,METRO,11,Akalla,1,Solna centrum,3211,3211,1,2023-04-23T08:49:15,2023-04-23T08:49:17,9 min,36337,,2023-04-23 08:39:42.167311,Solna Centrum
tunnelbanans blå linje,METRO,11,Kungsträdgården,2,Solna centrum,3211,3212,2,2023-04-23T08:57:45,2023-04-23T08:57:45,18 min,36014,,2023-04-23 08:39:42.167311,Solna Centrum
tunnelbanans blå linje,METRO,11,Akalla,1,Solna centrum,3211,3211,1,2023-04-23T08:59:15,2023-04-23T08:59:17,19 min,36338,,2023-04-23 08:39:42.167311,Solna Centrum
,BUS,113,Blackebergs gård,2,Solna centrum,12506,50726,F,2023-04-23T08:41:00,2023-04-23T08:41:00,08:41,20807,,2023-04-23 08:39:42.167311,Solna Centrum
,BUS,512,Spånga station,2,Solna centrum,12506,50721,A,2023-04-23T08:44:00,2023-04-23T08:44:00,4 min,20625,,2023-04-23 08:39:42.167311,Solna Centrum
,BUS,509,Danderyds sjukhus,1,Solna centrum,12506,50722,B,2023-04-23T08:46:00,2023-04-23T08:46:00,6 min,20710,,2023-04-23 08:39:42.167311,Solna Centrum
,BUS,513,Hagalund,1,Solna centrum,12506,50725,E,2023-04-23T08:47:00,2023-04-23T08:47:00,08:47,20767,,2023-04-23 08:39:42.167311,Solna Centrum
,BUS,506,Karolinska sjukhuset,2,Solna centrum,12506,12506,K,2023-04-23T08:53:00,2023-04-23T08:53:00,13 min,20180,,2023-04-23 08:39:42.167311,Solna Centrum
,BUS,129,Brommaplan,2,Solna centrum,12506,50721,A,2023-04-23T08:56:00,2023-04-23T08:56:00,08:56,20626,,2023-04-23 08:39:42.167311,Solna Centrum
Tvärbanan,TRAM,30,Sickla,2,Solna centrum,4547,4548,4,2023-04-23T08:45:00,2023-04-23T08:45:00,08:45,20843,,2023-04-23 08:39:42.167311,Solna Centrum
Tvärbanan,TRAM,30,Solna station,1,Solna centrum,4547,4547,3,2023-04-23T08:48:00,2023-04-23T08:48:00,8 min,10758,,2023-04-23 08:39:42.167311,Solna Centrum
tunnelbanans blå linje,METRO,11,Kungsträdgården,2,Fridhemsplan,1151,3152,4,2023-04-23T08:43:00,2023-04-23T08:43:20,3 min,36012,,2023-04-23 08:39:42.539420,Friedhemsplan
tunnelbanans blå linje,METRO,11,Akalla,1,Fridhemsplan,1151,3151,3,2023-04-23T08:43:30,2023-04-23T08:43:57,4 min,36337,,2023-04-23 08:39:42.539420,Friedhemsplan
tunnelbanans gröna linje,METRO,17,Skarpnäck,2,Fridhemsplan,1151,1152,2,2023-04-23T08:45:15,2023-04-23T08:45:15,5 min,16626,,2023-04-23 08:39:42.539420,Friedhemsplan
tunnelbanans gröna linje,METRO,18,Alvik,1,Fridhemsplan,1151,1151,1,2023-04-23T08:45:30,2023-04-23T08:45:30,08:45,16300,"[{'Text': 'Inställd', 'Consequence': 'CANCELLED', 'ImportanceLevel': 0}]",2023-04-23 08:39:42.539420,Friedhemsplan
tunnelbanans gröna linje,METRO,17,Alvik,1,Fridhemsplan,1151,1151,1,2023-04-23T08:43:30,2023-04-23T08:45:50,6 min,80040,,2023-04-23 08:39:42.539420,Friedhemsplan
tunnelbanans blå linje,METRO,10,Hjulsta,1,Fridhemsplan,1151,3151,3,2023-04-23T08:48:30,2023-04-23T08:48:30,8 min,36236,,2023-04-23 08:39:42.539420,Friedhemsplan
tunnelbanans blå linje,METRO,10,Kungsträdgården,2,Fridhemsplan,1151,3152,4,2023-04-23T08:48:00,2023-04-23T08:48:41,8 min,36131,,2023-04-23 08:39:42.539420,Friedhemsplan
tunnelbanans gröna linje,METRO,18,Farsta strand,2,Fridhemsplan,1151,1152,2,2023-04-23T08:52:45,2023-04-23T08:52:45,08:52,16107,,2023-04-23 08:39:42.539420,Friedhemsplan
tunnelbanans blå linje,METRO,11,Kungsträdgården,2,Fridhemsplan,1151,3152,4,2023-04-23T08:53:00,2023-04-23T08:53:31,13 min,36013,,2023-04-23 08:39:42.539420,Friedhemsplan
tunnelbanans gröna linje,METRO,17,Hässelby strand,1,Fridhemsplan,1151,1151,1,2023-04-23T08:52:30,2023-04-23T08:53:40,13 min,16905,,2023-04-23 08:39:42.539420,Friedhemsplan
tunnelbanans blå linje,METRO,11,Akalla,1,Fridhemsplan,1151,3151,3,2023-04-23T08:53:30,2023-04-23T08:53:57,14 min,36338,,2023-04-23 08:39:42.539420,Friedhemsplan
tunnelbanans gröna linje,METRO,17,Skarpnäck,2,Fridhemsplan,1151,1152,2,2023-04-23T08:56:45,2023-04-23T08:57:02,17 min,17023,,2023-04-23 08:39:42.539420,Friedhemsplan
tunnelbanans blå linje,METRO,10,Kungsträdgården,2,Fridhemsplan,1151,3152,4,2023-04-23T08:58:00,2023-04-23T08:58:34,18 min,36132,,2023-04-23 08:39:42.539420,Friedhemsplan
tunnelbanans gröna linje,METRO,18,Alvik,1,Fridhemsplan,1151,1151,1,2023-04-23T08:58:30,2023-04-23T08:58:53,19 min,16301,,2023-04-23 08:39:42.539420,Friedhemsplan
tunnelbanans blå linje,METRO,10,Hjulsta,1,Fridhemsplan,1151,3151,3,2023-04-23T08:58:30,2023-04-23T08:58:56,19 min,36237,,2023-04-23 08:39:42.539420,Friedhemsplan
,BUS,61,Ruddammen,2,Fridhemsplan,10369,10747,A,2023-04-23T08:42:00,2023-04-23T08:43:43,4 min,7406,,2023-04-23 08:39:42.539420,Friedhemsplan
blåbuss,BUS,4,Radiohuset,2,Fridhemsplan,10369,10369,B,2023-04-23T08:53:00,2023-04-23T08:54:28,14 min,3770,"[{'Text': 'Hållplats Jungfrugatan, Mariebergsgatan och Högalidsgatan är indragna.', 'Consequence': 'INFORMATION', 'ImportanceLevel': 7}]",2023-04-23 08:39:42.539420,Friedhemsplan
blåbuss,BUS,4,Gullmarsplan,1,Fridhemsplan,10369,10908,F,2023-04-23T08:54:00,2023-04-23T08:54:49,15 min,3881,"[{'Text': 'Hållplats Jungfrugatan, Mariebergsgatan och Högalidsgatan är indragna.', 'Consequence': 'INFORMATION', 'ImportanceLevel': 7}]",2023-04-23 08:39:42.539420,Friedhemsplan
,BUS,54,Hjorthagen,1,Fridhemsplan,10369,10747,A,2023-04-23T08:55:00,2023-04-23T08:55:00,08:55,6141,,2023-04-23 08:39:42.539420,Friedhemsplan
blåbuss,BUS,1,Frihamnen,2,Fridhemsplan,10369,10742,G,2023-04-23T08:55:00,2023-04-23T08:55:00,08:55,993,,2023-04-23 08:39:42.539420,Friedhemsplan
,BUS,61,Hornsberg,1,Fridhemsplan,10369,10641,E,2023-04-23T08:58:00,2023-04-23T08:58:00,18 min,7452,,2023-04-23 08:39:42.539420,Friedhemsplan
blåbuss,BUS,1,Frihamnen,2,Fridhemsplan,10369,10742,G,2023-04-23T08:40:00,,-,992,,2023-04-23 08:39:42.539420,Friedhemsplan
,BUS,56,Stora Essingen,1,Fridhemsplan,10369,10745,H,2023-04-23T08:46:00,,-,6673,,2023-04-23 08:39:42.539420,Friedhemsplan
blåbuss,BUS,1,Stora Essingen,1,Fridhemsplan,10369,10745,H,2023-04-23T08:47:00,,-,1084,,2023-04-23 08:39:42.539420,Friedhemsplan
tunnelbanans gröna linje,METRO,19,Gullmarsplan,1,Globen,1611,1611,1,2023-04-23T08:45:30,2023-04-23T08:45:35,5 min,16518,,2023-04-23 08:39:43.403743,Globen
tunnelbanans gröna linje,METRO,19,Hagsätra,2,Globen,1611,1612,2,2023-04-23T08:49:00,2023-04-23T08:49:00,08:49,16486,,2023-04-23 08:39:43.403743,Globen
tunnelbanans gröna linje,METRO,19,Alvik,1,Globen,1611,1611,1,2023-04-23T08:55:30,2023-04-23T08:55:30,15 min,16519,,2023-04-23 08:39:43.403743,Globen
Tvärbanan,TRAM,30,Solna station,1,Globen,4503,4503,3,2023-04-23T08:39:00,2023-04-23T08:39:45,Nu,10828,,2023-04-23 08:39:43.403743,Globen
Tvärbanan,TRAM,30,Sickla,2,Globen,4503,4504,4,2023-04-23T08:46:30,2023-04-23T08:46:30,6 min,20822,,2023-04-23 08:39:43.403743,Globen
Tvärbanan,TRAM,30,Sickla,2,Globen,4503,4504,4,2023-04-23T08:53:30,2023-04-23T08:53:30,13 min,20813,,2023-04-23 08:39:43.403743,Globen
Tvärbanan,TRAM,30,Solna station,1,Globen,4503,4503,3,2023-04-23T08:54:00,2023-04-23T08:54:00,08:54,10843,,2023-04-23 08:39:43.403743,Globen
tunnelbanans röda linje,METRO,14,Fruängen,2,Bergshamra,2241,2242,2,2023-04-23T08:48:45,2023-04-23T08:49:04,9 min,26279,,2023-04-23 08:39:43.677522,Bergshamra
tunnelbanans röda linje,METRO,14,Mörby centrum,1,Bergshamra,2241,2241,1,2023-04-23T08:49:00,2023-04-23T08:49:39,9 min,26019,,2023-04-23 08:39:43.677522,Bergshamra
tunnelbanans röda linje,METRO,14,Fruängen,2,Bergshamra,2241,2242,2,2023-04-23T08:58:00,2023-04-23T08:58:00,08:58,26280,,2023-04-23 08:39:43.677522,Bergshamra
tunnelbanans röda linje,METRO,14,Mörby centrum,1,Bergshamra,2241,2241,1,2023-04-23T09:04:00,2023-04-23T09:04:49,25 min,26020,,2023-04-23 08:39:43.677522,Bergshamra
tunnelbanans röda linje,METRO,14,Fruängen,2,Bergshamra,2241,2242,2,2023-04-23T09:08:15,2023-04-23T09:08:15,09:08,26281,,2023-04-23 08:39:43.677522,Bergshamra
blåbuss,BUS,178,Mörby station,2,Bergshamra bro,50388,50389,,2023-04-23T08:39:32,2023-04-23T08:40:56,1 min,20804,,2023-04-23 08:39:43.954780,Bergshamra bus
blåbuss,BUS,177,Skärvik,2,Bergshamra bro,50388,50388,,2023-04-23T08:42:18,2023-04-23T08:43:40,3 min,12098,,2023-04-23 08:39:43.954780,Bergshamra bus
blåbuss,BUS,178,Jakobsbergs station,1,Bergshamra bro,50388,50388,,2023-04-23T08:44:58,2023-04-23T08:44:58,5 min,10841,,2023-04-23 08:39:43.954780,Bergshamra bus
blåbuss,BUS,176,Mörby station,1,Bergshamra bro,50388,50389,,2023-04-23T08:44:30,2023-04-23T08:47:11,7 min,12004,,2023-04-23 08:39:43.954780,Bergshamra bus
blåbuss,BUS,176,Stenhamra,2,Bergshamra bro,50388,50388,,2023-04-23T08:57:18,2023-04-23T08:57:18,17 min,12008,,2023-04-23 08:39:43.954780,Bergshamra bus
blåbuss,BUS,177,Mörby station,1,Bergshamra bro,50388,50389,,2023-04-23T09:00:30,2023-04-23T08:59:36,19 min,12097,,2023-04-23 08:39:43.954780,Bergshamra bus
tunnelbanans blå linje,METRO,11,Akalla,1,T-Centralen,1051,3051,5,2023-04-23T08:40:30,2023-04-23T08:40:30,Nu,36337,,2023-04-23 08:39:59.267150,T-Centralen
tunnelbanans blå linje,METRO,10,Hjulsta,1,T-Centralen,1051,3051,5,2023-04-23T08:45:30,2023-04-23T08:45:30,5 min,36236,,2023-04-23 08:39:59.267150,T-Centralen
tunnelbanans gröna linje,METRO,18,Farsta strand,2,T-Centralen,1051,1052,4,2023-04-23T08:46:00,2023-04-23T08:46:01,6 min,16106,,2023-04-23 08:39:59.267150,T-Centralen
tunnelbanans gröna linje,METRO,17,Hässelby strand,1,T-Centralen,1051,2051,1,2023-04-23T08:45:00,2023-04-23T08:46:22,6 min,16905,,2023-04-23 08:39:59.267150,T-Centralen
tunnelbanans blå linje,METRO,11,Kungsträdgården,2,T-Centralen,1051,3052,6,2023-04-23T08:47:00,2023-04-23T08:47:00,7 min,36012,,2023-04-23 08:39:59.267150,T-Centralen
tunnelbanans röda linje,METRO,14,Fruängen,2,T-Centralen,1051,2052,2,2023-04-23T08:46:00,2023-04-23T08:47:09,7 min,26278,,2023-04-23 08:39:59.267150,T-Centralen
tunnelbanans röda linje,METRO,13,Ropsten,1,T-Centralen,1051,1051,3,2023-04-23T08:46:00,2023-04-23T08:47:10,7 min,26458,,2023-04-23 08:39:59.267150,T-Centralen
tunnelbanans blå linje,METRO,11,Akalla,1,T-Centralen,1051,3051,5,2023-04-23T08:50:30,2023-04-23T08:50:30,10 min,36338,,2023-04-23 08:39:59.267150,T-Centralen
tunnelbanans gröna linje,METRO,18,Alvik,1,T-Centralen,1051,2051,1,2023-04-23T08:51:00,2023-04-23T08:51:03,11 min,16301,,2023-04-23 08:39:59.267150,T-Centralen
tunnelbanans blå linje,METRO,10,Kungsträdgården,2,T-Centralen,1051,3052,6,2023-04-23T08:52:00,2023-04-23T08:52:00,12 min,36131,,2023-04-23 08:39:59.267150,T-Centralen
tunnelbanans gröna linje,METRO,17,Skarpnäck,2,T-Centralen,1051,1052,4,2023-04-23T08:53:00,2023-04-23T08:53:00,13 min,16626,,2023-04-23 08:39:59.267150,T-Centralen
tunnelbanans röda linje,METRO,13,Norsborg,2,T-Centralen,1051,2052,2,2023-04-23T08:53:00,2023-04-23T08:53:00,13 min,26573,,2023-04-23 08:39:59.267150,T-Centralen
tunnelbanans röda linje,METRO,14,Mörby centrum,1,T-Centralen,1051,1051,3,2023-04-23T08:53:00,2023-04-23T08:53:43,13 min,26020,,2023-04-23 08:39:59.267150,T-Centralen
tunnelbanans blå linje,METRO,10,Hjulsta,1,T-Centralen,1051,3051,5,2023-04-23T08:55:30,2023-04-23T08:55:30,15 min,36237,,2023-04-23 08:39:59.267150,T-Centralen
tunnelbanans blå linje,METRO,11,Kungsträdgården,2,T-Centralen,1051,3052,6,2023-04-23T08:57:00,2023-04-23T08:57:00,17 min,36013,,2023-04-23 08:39:59.267150,T-Centralen
tunnelbanans gröna linje,METRO,17,Hässelby strand,1,T-Centralen,1051,2051,1,2023-04-23T08:58:00,2023-04-23T08:58:04,18 min,16906,,2023-04-23 08:39:59.267150,T-Centralen
tunnelbanans röda linje,METRO,14,Fruängen,2,T-Centralen,1051,2052,2,2023-04-23T09:00:00,2023-04-23T09:00:00,20 min,26279,,2023-04-23 08:39:59.267150,T-Centralen
tunnelbanans blå linje,METRO,11,Akalla,1,T-Centralen,1051,3051,5,2023-04-23T09:00:30,2023-04-23T09:00:30,09:00,36339,,2023-04-23 08:39:59.267150,T-Centralen
tunnelbanans gröna linje,METRO,18,Odenplan,1,T-Centralen,1051,2051,1,2023-04-23T09:01:00,2023-04-23T09:01:00,21 min,16302,,2023-04-23 08:39:59.267150,T-Centralen
tunnelbanans gröna linje,METRO,18,Farsta strand,2,T-Centralen,1051,1052,4,2023-04-23T09:01:00,2023-04-23T09:01:00,09:01,16107,,2023-04-23 08:39:59.267150,T-Centralen
tunnelbanans röda linje,METRO,13,Ropsten,1,T-Centralen,1051,1051,3,2023-04-23T09:01:00,2023-04-23T09:01:56,21 min,26459,,2023-04-23 08:39:59.267150,T-Centralen
tunnelbanans blå linje,METRO,10,Kungsträdgården,2,T-Centralen,1051,3052,6,2023-04-23T09:02:00,2023-04-23T09:02:00,22 min,36132,,2023-04-23 08:39:59.267150,T-Centralen
tunnelbanans röda linje,METRO,14,Mörby centrum,1,T-Centralen,1051,1051,3,2023-04-23T09:04:00,2023-04-23T09:04:17,24 min,26021,,2023-04-23 08:39:59.267150,T-Centralen
tunnelbanans röda linje,METRO,13,Norsborg,2,T-Centralen,1051,2052,2,2023-04-23T09:04:30,2023-04-23T09:04:30,09:04,26574,,2023-04-23 08:39:59.267150,T-Centralen
tunnelbanans gröna linje,METRO,17,Skarpnäck,2,T-Centralen,1051,1052,4,2023-04-23T09:05:00,2023-04-23T09:05:01,25 min,17023,,2023-04-23 08:39:59.267150,T-Centralen
tunnelbanans blå linje,METRO,10,Hjulsta,1,T-Centralen,1051,3051,5,2023-04-23T09:05:30,2023-04-23T09:05:30,09:05,36238,,2023-04-23 08:39:59.267150,T-Centralen
tunnelbanans gröna linje,METRO,19,Alvik,1,T-Centralen,1051,2051,1,2023-04-23T09:06:30,2023-04-23T09:06:34,26 min,16519,,2023-04-23 08:39:59.267150,T-Centralen
tunnelbanans blå linje,METRO,11,Kungsträdgården,2,T-Centralen,1051,3052,6,2023-04-23T09:07:00,2023-04-23T09:07:00,27 min,36014,,2023-04-23 08:39:59.267150,T-Centralen
tunnelbanans röda linje,METRO,13,Ropsten,1,T-Centralen,1051,1051,3,2023-04-23T09:07:30,2023-04-23T09:07:30,09:07,26124,,2023-04-23 08:39:59.267150,T-Centralen
tunnelbanans gröna linje,METRO,19,Hagsätra,2,T-Centralen,1051,1052,4,2023-04-23T09:08:00,2023-04-23T09:08:00,28 min,16627,,2023-04-23 08:39:59.267150,T-Centralen
tunnelbanans röda linje,METRO,14,Fruängen,2,T-Centralen,1051,2052,2,2023-04-23T09:09:30,2023-04-23T09:09:30,09:09,26280,,2023-04-23 08:39:59.267150,T-Centralen
tunnelbanans gröna linje,METRO,18,Hässelby strand,1,T-Centralen,1051,2051,1,2023-04-23T09:10:00,2023-04-23T09:10:00,09:10,16303,,2023-04-23 08:39:59.267150,T-Centralen
tunnelbanans röda linje,METRO,14,Fruängen,2,Tekniska högskolan,2221,2222,2,2023-04-23T08:40:15,2023-04-23T08:40:51,Nu,26278,,2023-04-23 08:39:59.522647,Tekniska högskolan
tunnelbanans röda linje,METRO,14,Mörby centrum,1,Tekniska högskolan,2221,2221,1,2023-04-23T08:44:00,2023-04-23T08:44:31,4 min,26019,,2023-04-23 08:39:59.522647,Tekniska högskolan
tunnelbanans röda linje,METRO,14,Fruängen,2,Tekniska högskolan,2221,2222,2,2023-04-23T08:54:15,2023-04-23T08:54:18,14 min,26279,,2023-04-23 08:39:59.522647,Tekniska högskolan
tunnelbanans röda linje,METRO,14,Mörby centrum,1,Tekniska högskolan,2221,2221,1,2023-04-23T08:59:00,2023-04-23T08:59:41,19 min,26020,,2023-04-23 08:39:59.522647,Tekniska högskolan
