GroupOfLine,TransportMode,LineNumber,Destination,JourneyDirection,StopAreaName,StopAreaNumber,StopPointNumber,StopPointDesignation,TimeTabledDateTime,ExpectedDateTime,DisplayTime,JourneyNumber,Deviations,RequestTime,Station
tunnelbanans blå linje,METRO,10,Kungsträdgården,2,T-Centralen,1051,3052,6,2023-04-17T11:12:00,2023-04-17T11:14:13,Nu,30212,,2023-04-17 11:14:21.041049,T-Centralen
tunnelbanans gröna linje,METRO,18,Farsta strand,2,T-Centralen,1051,1052,4,2023-04-17T11:14:30,2023-04-17T11:14:30,Nu,10134,,2023-04-17 11:14:21.041049,T-Centralen
tunnelbanans blå linje,METRO,10,Hjulsta,1,T-Centralen,1051,3051,5,2023-04-17T11:15:30,2023-04-17T11:15:30,1 min,30347,,2023-04-17 11:14:21.041049,T-Centralen
tunnelbanans röda linje,METRO,13,Ropsten,1,T-Centralen,1051,1051,3,2023-04-17T11:15:30,2023-04-17T11:16:30,2 min,20672,,2023-04-17 11:14:21.041049,T-Centralen
tunnelbanans gröna linje,METRO,19,Hässelby strand,1,T-Centralen,1051,2051,1,2023-04-17T11:16:30,2023-04-17T11:16:32,2 min,10569,,2023-04-17 11:14:21.041049,T-Centralen
tunnelbanans röda linje,METRO,14,Liljeholmen,2,T-Centralen,1051,2052,2,2023-04-17T11:16:30,2023-04-17T11:16:54,2 min,20446,,2023-04-17 11:14:21.041049,T-Centralen
tunnelbanans blå linje,METRO,11,Kungsträdgården,2,T-Centralen,1051,3052,6,2023-04-17T11:17:00,2023-04-17T11:17:00,2 min,30043,,2023-04-17 11:14:21.041049,T-Centralen
tunnelbanans gröna linje,METRO,17,Skarpnäck,2,T-Centralen,1051,1052,4,2023-04-17T11:18:00,2023-04-17T11:18:00,3 min,11271,,2023-04-17 11:14:21.041049,T-Centralen
tunnelbanans röda linje,METRO,14,Mörby centrum,1,T-Centralen,1051,1051,3,2023-04-17T11:19:00,2023-04-17T11:19:50,5 min,20115,,2023-04-17 11:14:21.041049,T-Centralen
tunnelbanans gröna linje,METRO,17,Åkeshov,1,T-Centralen,1051,2051,1,2023-04-17T11:20:00,2023-04-17T11:20:00,5 min,11026,,2023-04-17 11:14:21.041049,T-Centralen
tunnelbanans blå linje,METRO,11,Akalla,1,T-Centralen,1051,3051,5,2023-04-17T11:20:30,2023-04-17T11:20:30,6 min,30472,,2023-04-17 11:14:21.041049,T-Centralen
tunnelbanans gröna linje,METRO,19,Hagsätra,2,T-Centralen,1051,1052,4,2023-04-17T11:21:00,2023-04-17T11:21:00,6 min,10710,,2023-04-17 11:14:21.041049,T-Centralen
tunnelbanans röda linje,METRO,14,Fruängen,2,T-Centralen,1051,2052,2,2023-04-17T11:20:00,2023-04-17T11:21:17,6 min,20447,,2023-04-17 11:14:21.041049,T-Centralen
tunnelbanans blå linje,METRO,10,Kungsträdgården,2,T-Centralen,1051,3052,6,2023-04-17T11:22:00,2023-04-17T11:22:00,7 min,30213,,2023-04-17 11:14:21.041049,T-Centralen
tunnelbanans röda linje,METRO,14,Mörby centrum,1,T-Centralen,1051,1051,3,2023-04-17T11:22:30,2023-04-17T11:22:57,8 min,20233,,2023-04-17 11:14:21.041049,T-Centralen
tunnelbanans röda linje,METRO,13,Norsborg,2,T-Centralen,1051,2052,2,2023-04-17T11:23:00,2023-04-17T11:23:00,8 min,20822,,2023-04-17 11:14:21.041049,T-Centralen
tunnelbanans gröna linje,METRO,18,Alvik,1,T-Centralen,1051,2051,1,2023-04-17T11:23:30,2023-04-17T11:23:30,9 min,10352,,2023-04-17 11:14:21.041049,T-Centralen
tunnelbanans gröna linje,METRO,18,Farsta strand,2,T-Centralen,1051,1052,4,2023-04-17T11:24:30,2023-04-17T11:24:30,10 min,10135,,2023-04-17 11:14:21.041049,T-Centralen
tunnelbanans blå linje,METRO,10,Hjulsta,1,T-Centralen,1051,3051,5,2023-04-17T11:25:30,2023-04-17T11:25:30,11 min,30348,,2023-04-17 11:14:21.041049,T-Centralen
tunnelbanans röda linje,METRO,13,Ropsten,1,T-Centralen,1051,1051,3,2023-04-17T11:25:30,2023-04-17T11:26:17,11 min,20673,,2023-04-17 11:14:21.041049,T-Centralen
tunnelbanans röda linje,METRO,14,Liljeholmen,2,T-Centralen,1051,2052,2,2023-04-17T11:26:30,2023-04-17T11:26:30,12 min,20448,,2023-04-17 11:14:21.041049,T-Centralen
tunnelbanans gröna linje,METRO,19,Hässelby strand,1,T-Centralen,1051,2051,1,2023-04-17T11:26:30,2023-04-17T11:26:30,12 min,10570,,2023-04-17 11:14:21.041049,T-Centralen
tunnelbanans blå linje,METRO,11,Kungsträdgården,2,T-Centralen,1051,3052,6,2023-04-17T11:27:00,2023-04-17T11:27:00,12 min,30044,,2023-04-17 11:14:21.041049,T-Centralen
tunnelbanans gröna linje,METRO,17,Skarpnäck,2,T-Centralen,1051,1052,4,2023-04-17T11:28:00,2023-04-17T11:28:00,13 min,11272,,2023-04-17 11:14:21.041049,T-Centralen
tunnelbanans röda linje,METRO,14,Fruängen,2,Tekniska högskolan,2221,2222,2,2023-04-17T11:13:45,2023-04-17T11:15:21,1 min,20447,,2023-04-17 11:14:22.386476,Tekniska högskolan
tunnelbanans röda linje,METRO,14,Mörby centrum,1,Tekniska högskolan,2221,2221,1,2023-04-17T11:15:00,2023-04-17T11:15:46,1 min,20114,,2023-04-17 11:14:22.386476,Tekniska högskolan
tunnelbanans röda linje,METRO,14,Mörby centrum,1,Tekniska högskolan,2221,2221,1,2023-04-17T11:18:30,2023-04-17T11:18:58,4 min,20232,,2023-04-17 11:14:22.386476,Tekniska högskolan
tunnelbanans röda linje,METRO,14,Liljeholmen,2,Tekniska högskolan,2221,2222,2,2023-04-17T11:20:15,2023-04-17T11:20:15,5 min,20448,,2023-04-17 11:14:22.386476,Tekniska högskolan
tunnelbanans röda linje,METRO,14,Fruängen,2,Tekniska högskolan,2221,2222,2,2023-04-17T11:23:45,2023-04-17T11:23:45,9 min,20449,,2023-04-17 11:14:22.386476,Tekniska högskolan
tunnelbanans röda linje,METRO,14,Mörby centrum,1,Tekniska högskolan,2221,2221,1,2023-04-17T11:25:00,2023-04-17T11:25:33,11 min,20115,,2023-04-17 11:14:22.386476,Tekniska högskolan
tunnelbanans röda linje,METRO,14,Mörby centrum,1,Tekniska högskolan,2221,2221,1,2023-04-17T11:28:30,2023-04-17T11:28:36,14 min,20233,,2023-04-17 11:14:22.386476,Tekniska högskolan
blåbuss,BUS,4,Radiohuset,2,Östra station,10194,10195,M,2023-04-17T11:11:00,2023-04-17T11:14:36,Nu,2945,"[{'Text': 'Hållplats Jungfrugatan, Mariebergsgatan och Högalidsgatan är indragna.', 'Consequence': 'INFORMATION', 'ImportanceLevel': 7}]",2023-04-17 11:14:22.386476,Tekniska högskolan
blåbuss,BUS,6,Ropsten,1,Östra station,10194,10195,M,2023-04-17T11:16:00,2023-04-17T11:16:04,1 min,4010,,2023-04-17 11:14:22.386476,Tekniska högskolan
blåbuss,BUS,4,Gullmarsplan,1,Östra station,10194,10317,B,2023-04-17T11:15:00,2023-04-17T11:16:05,1 min,3107,"[{'Text': 'Hållplats Jungfrugatan, Mariebergsgatan och Högalidsgatan är indragna.', 'Consequence': 'INFORMATION', 'ImportanceLevel': 7}]",2023-04-17 11:14:22.386476,Tekniska högskolan
blåbuss,BUS,6,Karolinska institutet,2,Östra station,10194,10317,B,2023-04-17T11:16:00,2023-04-17T11:16:48,2 min,4122,,2023-04-17 11:14:22.386476,Tekniska högskolan
blåbuss,BUS,670,Vaxholm,1,Tekniska högskolan,60080,60083,F,2023-04-17T11:18:00,2023-04-17T11:18:00,11:18,11120,"[{'Text': 'Vägarbete i Engarn. Förändringar för flertalet linjer. Sök din resa i reseplaneraren. Detta gäller mellan 2023-04-03 till 2023-06-22.', 'Consequence': 'INFORMATION', 'ImportanceLevel': 5}]",2023-04-17 11:14:22.386476,Tekniska högskolan
blåbuss,BUS,4,Radiohuset,2,Östra station,10194,10195,M,2023-04-17T11:18:00,2023-04-17T11:18:22,4 min,2946,"[{'Text': 'Hållplats Jungfrugatan, Mariebergsgatan och Högalidsgatan är indragna.', 'Consequence': 'INFORMATION', 'ImportanceLevel': 7}]",2023-04-17 11:14:22.386476,Tekniska högskolan
blåbuss,BUS,676,Norrtälje,1,Tekniska högskolan,60080,60088,G,2023-04-17T11:20:00,2023-04-17T11:20:00,5 min,11120,,2023-04-17 11:14:22.386476,Tekniska högskolan
blåbuss,BUS,4,Gullmarsplan,1,Östra station,10194,10317,B,2023-04-17T11:22:00,2023-04-17T11:22:00,11:22,3108,"[{'Text': 'Hållplats Jungfrugatan, Mariebergsgatan och Högalidsgatan är indragna.', 'Consequence': 'INFORMATION', 'ImportanceLevel': 7}]",2023-04-17 11:14:22.386476,Tekniska högskolan
,BUS,67,Odenplan,2,Östra station,10194,10194,A,2023-04-17T11:25:00,2023-04-17T11:25:00,10 min,8375,,2023-04-17 11:14:22.386476,Tekniska högskolan
,BUS,67,Blockhusudden,1,Östra station,10194,10195,M,2023-04-17T11:26:00,2023-04-17T11:26:00,11:26,8444,,2023-04-17 11:14:22.386476,Tekniska högskolan
blåbuss,BUS,6,Karolinska institutet,2,Östra station,10194,10317,B,2023-04-17T11:26:00,2023-04-17T11:26:00,11:26,4123,,2023-04-17 11:14:22.386476,Tekniska högskolan
blåbuss,BUS,6,Ropsten,1,Östra station,10194,10195,M,2023-04-17T11:26:00,2023-04-17T11:27:32,13 min,4011,,2023-04-17 11:14:22.386476,Tekniska högskolan
blåbuss,BUS,4,Radiohuset,2,Östra station,10194,10195,M,2023-04-17T11:25:00,2023-04-17T11:27:58,13 min,2947,"[{'Text': 'Hållplats Jungfrugatan, Mariebergsgatan och Högalidsgatan är indragna.', 'Consequence': 'INFORMATION', 'ImportanceLevel': 7}]",2023-04-17 11:14:22.386476,Tekniska högskolan
blåbuss,BUS,4,Gullmarsplan,1,Östra station,10194,10317,B,2023-04-17T11:29:00,2023-04-17T11:29:00,11:29,3109,"[{'Text': 'Hållplats Jungfrugatan, Mariebergsgatan och Högalidsgatan är indragna.', 'Consequence': 'INFORMATION', 'ImportanceLevel': 7}]",2023-04-17 11:14:22.386476,Tekniska högskolan
,BUS,72,Frihamnen,1,Östra station,10194,10195,M,2023-04-17T11:17:00,,-,9575,,2023-04-17 11:14:22.386476,Tekniska högskolan
,BUS,72,Karolinska sjukhuset,2,Östra station,10194,10317,B,2023-04-17T11:18:00,,-,9640,,2023-04-17 11:14:22.386476,Tekniska högskolan
tunnelbanans blå linje,METRO,11,Kungsträdgården,2,Solna centrum,3211,3212,2,2023-04-17T11:17:45,2023-04-17T11:17:45,3 min,30044,,2023-04-17 11:14:22.677315,Solna Centrum
tunnelbanans blå linje,METRO,11,Akalla,1,Solna centrum,3211,3211,1,2023-04-17T11:19:15,2023-04-17T11:19:15,4 min,30471,,2023-04-17 11:14:22.677315,Solna Centrum
tunnelbanans blå linje,METRO,11,Kungsträdgården,2,Solna centrum,3211,3212,2,2023-04-17T11:27:45,2023-04-17T11:27:45,13 min,30045,,2023-04-17 11:14:22.677315,Solna Centrum
tunnelbanans blå linje,METRO,11,Akalla,1,Solna centrum,3211,3211,1,2023-04-17T11:29:15,2023-04-17T11:29:15,14 min,30472,,2023-04-17 11:14:22.677315,Solna Centrum
,BUS,509,Danderyds sjukhus,1,Solna centrum,12506,50722,B,2023-04-17T11:15:00,2023-04-17T11:15:00,Nu,21226,,2023-04-17 11:14:22.677315,Solna Centrum
,BUS,513,Hagalund,1,Solna centrum,12506,50725,E,2023-04-17T11:17:00,2023-04-17T11:17:00,11:17,21288,,2023-04-17 11:14:22.677315,Solna Centrum
,BUS,506,Hallonbergen,1,Solna centrum,12506,12507,L,2023-04-17T11:18:00,2023-04-17T11:18:30,4 min,20530,,2023-04-17 11:14:22.677315,Solna Centrum
,BUS,129,Brommaplan,2,Solna centrum,12506,50721,A,2023-04-17T11:20:00,2023-04-17T11:20:00,11:20,21128,,2023-04-17 11:14:22.677315,Solna Centrum
,BUS,113,Blackebergs gård,2,Solna centrum,12506,50726,F,2023-04-17T11:22:00,2023-04-17T11:22:00,11:22,21368,,2023-04-17 11:14:22.677315,Solna Centrum
,BUS,505,Bagartorp,1,Solna centrum,12506,50726,F,2023-04-17T11:23:00,2023-04-17T11:23:00,11:23,21369,,2023-04-17 11:14:22.677315,Solna Centrum
,BUS,506,Karolinska sjukhuset,2,Solna centrum,12506,12506,K,2023-04-17T11:25:00,2023-04-17T11:25:00,10 min,20319,,2023-04-17 11:14:22.677315,Solna Centrum
Tvärbanan,TRAM,30,Solna station,1,Solna centrum,4547,4547,3,2023-04-17T11:16:00,2023-04-17T11:16:00,1 min,11026,,2023-04-17 11:14:22.677315,Solna Centrum
Tvärbanan,TRAM,30,Sickla,2,Solna centrum,4547,4548,4,2023-04-17T11:20:30,2023-04-17T11:20:30,11:20,21118,,2023-04-17 11:14:22.677315,Solna Centrum
