trip_id,organization_name,is_operator
14010000574102918,Keolis,1
14010000574102788,Keolis,1
14010000574107201,Keolis,1
14010000574102742,Keolis,1
14010000574102962,Keolis,1
14010000574103153,Keolis,1
14010000602867226,Keolis,1
14010000604331869,Keolis,1
14010000602856882,Keolis,1
14010000619322137,Keolis,1
14010000619322997,Keolis,1
14010000619329762,Keolis,1
14010000619321897,Keolis,1
14010000619324762,Keolis,1
14010000619325101,Keolis,1
14010000619321560,Keolis,1
14010000619323426,Keolis,1
14010000619324257,Keolis,1
14010000619327000,Keolis,1
14010000619329000,Keolis,1
14010000619330222,Keolis,1
14010000619328439,Keolis,1
14010000619331321,Keolis,1
14010000619332949,Keolis,1
14010000619334493,Keolis,1
14010000619335326,Keolis,1
14010000619333280,Keolis,1
14010000619338670,Keolis,1
14010000619337921,Keolis,1
14010000619339023,Keolis,1
14010000619339924,Keolis,1
14010000619341528,Keolis,1
14010000619339548,Keolis,1
14010000619340779,Keolis,1
14010000619342779,Keolis,1
14010000619343163,Keolis,1
14010000619343986,Keolis,1
14010000619344746,Keolis,1
14010000619345886,Keolis,1
14010000619346263,Keolis,1
14010000619348225,Keolis,1
14010000619349090,Keolis,1
14010000619352640,Keolis,1
14010000619352930,Keolis,1
14010000619353568,Keolis,1
14010000619354202,Keolis,1
14010000619355970,Keolis,1
14010000619330582,Keolis,1
14010000619331657,Keolis,1
14010000619335020,Keolis,1
14010000619335822,Keolis,1
14010000619336144,Keolis,1
14010000619338231,Keolis,1
14010000619341071,Keolis,1
14010000619342389,Keolis,1
14010000619345105,Keolis,1
14010000619346686,Keolis,1
14010000619347603,Keolis,1
14010000619348561,Keolis,1
14010000619349772,Keolis,1
14010000619350117,Keolis,1
14010000619350635,Keolis,1
14010000619351887,Keolis,1
14010000619356251,Keolis,1
14010000619357663,Keolis,1
14010000619357976,Keolis,1
14010000619358399,Keolis,1
14010000619358991,Keolis,1
14010000619359620,Keolis,1
14010000619360567,Keolis,1
14010000619361461,Keolis,1
14010000619362174,Keolis,1
14010000619358716,Keolis,1
14010000619359375,Keolis,1
14010000619359873,Keolis,1
14010000619361770,Keolis,1
14010000619362491,Keolis,1
14010000619363125,Keolis,1
14010000619363400,Keolis,1
14010000619363681,Keolis,1
14010000619363928,Keolis,1
14010000619364155,Keolis,1
14010000619364432,Keolis,1
14010000619364658,Keolis,1
14010000619364934,Keolis,1
14010000619365861,Keolis,1
14010000619370455,Keolis,1
14010000619370676,Keolis,1
14010000619371397,Keolis,1
14010000619371628,Keolis,1
14010000619375499,Keolis,1
14010000619353161,Keolis,1
14010000619353946,Keolis,1
14010000619354493,Keolis,1
14010000619356545,Keolis,1
14010000619362807,Keolis,1
14010000619370958,Keolis,1
14010000619375198,Keolis,1
14010000619379982,Keolis,1
14010000619380638,Keolis,1
14010000619380932,Keolis,1
14010000619365161,Keolis,1
14010000619365663,Keolis,1
14010000619371137,Keolis,1
14010000619372572,Keolis,1
14010000619372824,Keolis,1
14010000619373219,Keolis,1
14010000619373694,Keolis,1
14010000619374010,Keolis,1
14010000619374355,Keolis,1
14010000619382654,Keolis,1
14010000619384580,Keolis,1
14010000619377656,Keolis,1
14010000619378619,Keolis,1
14010000619378921,Keolis,1
14010000619379307,Keolis,1
14010000619321039,Keolis,1
14010000619321293,Keolis,1
14010000619323827,Keolis,1
14010000619325939,Keolis,1
14010000619326588,Keolis,1
14010000619327627,Keolis,1
14010000619327989,Keolis,1
14010000619329308,Keolis,1
14010000619330874,Keolis,1
14010000619332550,Keolis,1
14010000619383319,Keolis,1
14010000619383915,Keolis,1
14010000619385600,Keolis,1
14010000619388186,Keolis,1
14010000619388778,Keolis,1
14010000619390094,Keolis,1
14010000619390576,Keolis,1
14010000619388465,Keolis,1
14010000619389562,Keolis,1
14010000619390362,Keolis,1
14010000619390871,Keolis,1
14010000619391319,Keolis,1
14010000619379677,Keolis,1
14010000619382342,Keolis,1
14010000619383593,Keolis,1
14010000619385394,Keolis,1
14010000619389016,Keolis,1
14010000619389786,Keolis,1
14010000619333687,Keolis,1
14010000619334185,Keolis,1
14010000619336592,Keolis,1
14010000619337428,Keolis,1
14010000619340287,Keolis,1
14010000619343590,Keolis,1
14010000619345494,Keolis,1
14010000611499648,Keolis,1
14010000611517869,Keolis,1
14010000611518268,Keolis,1
14010000611518914,Keolis,1
14010000611519163,Keolis,1
14010000611519416,Keolis,1
14010000611520889,Keolis,1
14010000611522361,Keolis,1
14010000611522575,Keolis,1
14010000611523539,Keolis,1
14010000611525260,Keolis,1
14010000611526705,Keolis,1
14010000611527203,Keolis,1
14010000619347335,Keolis,1
14010000619347899,Keolis,1
14010000619348815,Keolis,1
14010000619351095,Keolis,1
14010000619351711,Keolis,1
14010000619354883,Keolis,1
14010000619355213,Keolis,1
14010000611492521,Keolis,1
14010000611499801,Keolis,1
14010000611504155,Keolis,1
14010000611506352,Keolis,1
14010000611518054,Keolis,1
14010000611518522,Keolis,1
14010000611519629,Keolis,1
14010000611519919,Keolis,1
14010000611520385,Keolis,1
