stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
9021001000228000,Fiversätraö,59.070830,18.516739,1,,
9021001000229000,Mefjärd,59.061974,18.480212,1,,
9021001000230000,Ornö kyrka,59.052103,18.433100,1,,
9021001000231000,Fjärdlång,59.035713,18.511387,1,,
9021001000232000,Rosenön,59.164089,18.468483,1,,
9021001000233000,Huvudskär,58.963049,18.565575,1,,
9021001000237000,Rögrund,59.165812,18.584405,1,,
9021001000257000,Edesön,59.150190,18.456787,1,,
9021001000269000,Ekholmen,59.167007,18.662630,1,,
9021001000277000,Telegrafholmen,59.292496,18.913694,1,,
9021001000278000,Björkvik,59.220757,18.539937,1,,
9021001000279000,Eknö,59.305654,18.851039,1,,
9021001000301000,Strömkajen,59.328817,18.076009,1,,
9021001000304000,Ropsten,59.358321,18.106337,1,,
9021001000305000,Skeppsbron,59.326665,18.075504,1,,
9021001000306000,Slussen,59.323290,18.076104,1,,
9021001000307000,Strandvägen,59.331144,18.078871,1,,
9021001000308000,Barnängsbryggan,59.308045,18.097512,1,,
9021001000309000,Lumabryggan,59.305791,18.099328,1,,
9021001000312000,Allmänna gränd,59.324080,18.094617,1,,
9021001000313000,Henriksdals brygga,59.309294,18.101281,1,,
9021001000314000,Skeppsholmen,59.325049,18.089006,1,,
9021001000315000,Masthamnen,59.315741,18.106791,1,,
9021001000316000,Skeppsholmen västra,59.324475,18.081126,1,,
9021001000318000,Fotografiska,59.318090,18.085874,1,,
9021001000401000,Vaxholm,59.401845,18.355433,1,,
9021001000402000,Granholmen,59.376225,18.308534,1,,
9021001000403000,Edlunda,59.375118,18.318500,1,,
9021001000404000,Furuholmen,59.372117,18.336064,1,,
9021001000405000,Kalvholmen,59.377850,18.365126,1,,
9021001000406000,Risberga,59.370186,18.362605,1,,
9021001000407000,Vasholmen,59.384103,18.343549,1,,
9021001000408000,Höganäs,59.386986,18.342600,1,,
9021001000409000,Stora Ekholmen,59.393578,18.345223,1,,
9021001000410000,Fredriksberg,59.400281,18.333706,1,,
9021001000411000,Kastellet,59.402390,18.359735,1,,
9021001000413000,Rindöbaden,59.397146,18.376258,1,,
9021001000414000,Norra Tynningö,59.392885,18.376274,1,,
9021001000415000,Höganäs torg,59.385253,18.354126,1,,
9021001000416000,Ljungbergsgården,59.366579,18.405951,1,,
9021001000417000,Östra Tynningö,59.363124,18.420374,1,,
9021001000418000,Norehill,59.383946,18.393812,1,,
9021001000419000,Ramsö,59.390285,18.398869,1,,
9021001000420000,Vegabryggan,59.391366,18.406695,1,,
9021001000421000,Ramsöberg,59.384360,18.418887,1,,
9021001000422000,Knutsholmen,59.376485,18.435003,1,,
9021001000423000,Hästholmen,59.365163,18.441041,1,,
9021001000424000,Skogsö södra,59.368334,18.442454,1,,
