from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
9022001001551001,9022001001551001,1,,14010000574348638,14010000582823522
9022001001551001,9022001001551001,1,,14010000466455851,14010000582865231
9022001001551001,9022001001551001,1,,14010000594394109,14010000582823474
9022001001551002,9022001001551004,1,,14010000606291778,14010000585891104
9022001001551002,9022001001551004,1,,14010000606302696,14010000585908042
9022001001551002,9022001001551004,1,,14010000606302338,14010000606302518
9022001001551002,9022001001551004,1,,14010000606302591,14010000585907951
9022001001551002,9022001001551004,1,,14010000606302468,14010000585907787
9022001001551002,9022001001551004,1,,14010000594380156,14010000582816239
9022001001551002,9022001001551004,1,,14010000594380754,14010000582816766
9022001001551002,9022001001551004,1,,14010000594380754,14010000616028338
9022001001551002,9022001001551004,1,,14010000594380990,14010000582816928
9022001001551002,9022001001551004,1,,14010000594380990,14010000616028879
9022001001551002,9022001001551004,1,,14010000594380364,14010000582816436
9022001001551002,9022001001551004,1,,14010000594380442,14010000582816502
9022001001551002,9022001001551004,1,,14010000594380676,14010000582816700
9022001001551002,9022001001551004,1,,14010000594380676,14010000585890302
9022001001551002,9022001001551004,1,,14010000594380910,14010000582816901
9022001001551002,9022001001551004,1,,14010000594380910,14010000616028608
9022001001551002,9022001001551004,1,,14010000594380832,14010000582816832
9022001001551002,9022001001551004,1,,14010000594380832,14010000616028437
9022001001551002,9022001001551004,1,,14010000594380200,14010000582816304
9022001001551002,9022001001551004,1,,14010000594380318,14010000582816370
9022001001551002,9022001001551004,1,,14010000594380520,14010000582816568
9022001001551002,9022001001551004,1,,14010000594380598,14010000582816634
9022001001551002,9022001001551004,1,,14010000594427657,14010000594427919
9022001001551002,9022001001551004,1,,14010000594427850,14010000582813295
9022001001551002,9022001001551004,1,,14010000594398549,14010000582811625
9022001001551002,9022001001551004,1,,14010000594428037,14010000582813352
9022001001551002,9022001001551004,1,,14010000594428205,14010000582813376
9022001001551002,9022001001551004,1,,14010000606291644,14010000582822681
9022001001551002,9022001001551004,1,,14010000606291908,14010000606292111
9022001001551002,9022001001551004,1,,14010000606299847,14010000585904255
9022001001551002,9022001001551004,1,,14010000594380114,14010000582822681
9022001001551002,9022001001551004,1,,14010000594398066,14010000582811507
9022001001551002,9022001001551004,1,,14010000594399027,14010000582811625
9022001001551003,9022001001551001,1,,14010000585890199,14010000582816481
9022001001551003,9022001001551001,1,,14010000585890325,14010000582816745
9022001001551003,9022001001551001,1,,14010000585906140,14010000606301659
9022001001551003,9022001001551001,1,,14010000585907400,14010000606302425
9022001001551003,9022001001551001,1,,14010000585889953,14010000582816118
9022001001551003,9022001001551001,1,,14010000585890093,14010000582816218
9022001001551003,9022001001551001,1,,14010000585890253,14010000582816613
9022001001551003,9022001001551001,1,,14010000585890280,14010000582816679
9022001001551003,9022001001551001,1,,14010000585890352,14010000585890394
9022001001551003,9022001001551001,1,,14010000585890352,14010000582816811
9022001001551003,9022001001551001,1,,14010000585890449,14010000585890564
9022001001551003,9022001001551001,1,,14010000585890585,14010000585890685
9022001001551003,9022001001551001,1,,14010000585890020,14010000582816152
9022001001551003,9022001001551001,1,,14010000585890226,14010000582816547
9022001001551003,9022001001551001,1,,14010000585907586,14010000606302548
9022001001551003,9022001001551001,1,,14010000585890118,14010000582816283
9022001001551003,9022001001551001,1,,14010000585890146,14010000582816349
9022001001551003,9022001001551001,1,,14010000585890172,14010000582816415
9022001001551003,9022001001551001,1,,14010000585907769,14010000606302653
9022001001551003,9022001001551001,1,,14010000594381012,14010000582816879
9022001001551003,9022001001551001,1,,14010000594381012,14010000625452134
9022001001551003,9022001001551001,1,,14010000594426426,14010000603269239
9022001001551003,9022001001551001,1,,14010000594428087,14010000614176145
9022001001551003,9022001001551001,1,,14010000594438924,14010000625452025
9022001001551003,9022001001551001,1,,14010000594438872,14010000616028316
9022001001551003,9022001001551001,1,,14010000594427710,14010000603269759
9022001001551003,9022001001551001,1,,14010000594427900,14010000614176110
9022001001551003,9022001001551001,1,,14010000594438688,14010000582816613
9022001001551003,9022001001551001,1,,14010000594438780,14010000582816679
9022001001551004,9022001001551004,1,,14010000594394324,14010000582823555
9022001007191004,9022001007191001,1,,14010000630917101,14010000630917157
9022001007191004,9022001007191001,1,,14010000630917101,14010000630919580
9022001010736001,9022001010736001,1,,14010000619322097,14010000630014627
9022001010736001,9022001010736001,1,,14010000619328584,14010000630015051
9022001010736001,9022001010736001,1,,14010000619325417,14010000630014889
9022001010736001,9022001010736001,1,,14010000619321472,14010000630014543
9022001010736001,9022001010736001,1,,14010000619323680,14010000630014797
9022001010736001,9022001010736001,1,,14010000619326938,14010000630014975
9022001010736001,9022001010736001,1,,14010000619331083,14010000630015195
9022001010736001,9022001010736001,1,,14010000619329886,14010000630015123
9022001010736001,9022001010736001,1,,14010000619336827,14010000630015551
9022001010736001,9022001010736001,1,,14010000619338115,14010000630015621
9022001010736001,9022001010736001,1,,14010000619342623,14010000630015905
9022001010736001,9022001010736001,1,,14010000619344981,14010000630016050
9022001010736001,9022001010736001,1,,14010000619346221,14010000630016127
9022001010736001,9022001010736001,1,,14010000619347296,14010000630016208
9022001010736001,9022001010736001,1,,14010000619350824,14010000630016457
9022001010736001,9022001010736001,1,,14010000619332275,14010000630015267
9022001010736001,9022001010736001,1,,14010000619334554,14010000630015409
9022001010736001,9022001010736001,1,,14010000619358263,14010000630016922
9022001010736001,9022001010736001,1,,14010000619339327,14010000630015692
9022001010736001,9022001010736001,1,,14010000619341489,14010000630015835
9022001010736001,9022001010736001,1,,14010000619348475,14010000630016293
9022001010736001,9022001010736001,1,,14010000619352133,14010000630016549
9022001010736001,9022001010736001,1,,14010000619360869,14010000630017107
9022001010736001,9022001010736001,1,,14010000619363086,14010000630017311
9022001010736001,9022001010736001,1,,14010000619356048,14010000630016781
9022001010736001,9022001010736001,1,,14010000619357091,14010000630016848
9022001010736001,9022001010736001,1,,14010000619360008,14010000630017046
9022001010736001,9022001010736001,1,,14010000619361731,14010000630017166
9022001010736001,9022001010736001,1,,14010000619362452,14010000630017226
9022001010736001,9022001010736001,1,,14010000619322749,14010000630014707
9022001010736001,9022001010736001,1,,14010000619333433,14010000630015337
9022001010736001,9022001010736001,1,,14010000619335689,14010000630015481
9022001010736001,9022001010736001,1,,14010000619340375,14010000630015764
9022001010736001,9022001010736001,1,,14010000619343818,14010000630015977
